,Province,Pollutant,Year,Value,Per Capita,By Capita
0,AB,NH3,1990,95261.6403072018,2540901.75,0.03749127265830007
1,AB,CO,1990,1810389.43111,2540901.75,0.7124987934342601
2,AB,SOX,1990,512405.17695316,2540901.75,0.20166272739713764
3,AB,NOX,1990,613284.286308138,2540901.75,0.24136481715915936
4,AB,VOC,1990,643752.225882095,2540901.75,0.25335581192074624
5,BC,NH3,1990,22995.98762586,3282328.5,0.007005998219209321
6,BC,CO,1990,2340343.89807514,3282328.5,0.7130133068872113
7,BC,SOX,1990,110747.399637798,3282328.5,0.03374049844121269
8,BC,NOX,1990,285967.668928385,3282328.5,0.08712341526096033
9,BC,VOC,1990,374973.17600456,3282328.5,0.1142399903009586
10,ON,NH3,1990,110519.63110678,10267344.75,0.01076418819060108
11,ON,CO,1990,3269271.42988712,10267344.75,0.31841449853791265
12,ON,SOX,1990,1123223.48280118,10267344.75,0.10939765929269883
13,ON,NOX,1990,602616.544802302,10267344.75,0.05869254023074486
14,ON,VOC,1990,852779.352665704,10267344.75,0.08305743825984843
15,MB,NH3,1990,38047.3103045138,1104301.5,0.03445373415187229
16,MB,CO,1990,385835.591845711,1104301.5,0.3493933421676155
17,MB,SOX,1990,509138.983641069,1104301.5,0.4610507036720216
18,MB,NOX,1990,72575.499647239,1104301.5,0.06572072902847548
19,MB,VOC,1990,96063.6932587365,1104301.5,0.08699045800330481
20,NB,NH3,1990,4594.71677951292,739547.0,0.0062128800191372825
21,NB,CO,1990,316112.672711929,739547.0,0.427440950625084
22,NB,SOX,1990,109313.504842129,739547.0,0.14781143705826538
23,NB,NOX,1990,78725.0492842005,739547.0,0.10645036662200036
24,NB,VOC,1990,82132.9747951239,739547.0,0.11105849228666183
25,NS,NH3,1990,4863.27143532183,909509.5,0.005347136489857258
26,NS,CO,1990,308496.777655717,909509.5,0.33919027525904566
27,NS,SOX,1990,203152.189724446,909509.5,0.2233645604850153
28,NS,NOX,1990,82882.7751581674,909509.5,0.09112909228344222
29,NS,VOC,1990,70235.7677984202,909509.5,0.07722378688559076
30,QC,NH3,1990,64955.9860256586,6986226.5,0.009297721169741435
31,QC,CO,1990,2255181.20750204,6986226.5,0.3228039067301984
32,QC,SOX,1990,246885.765175183,6986226.5,0.03533892941707272
33,QC,NOX,1990,311649.667127366,6986226.5,0.044609155905175134
34,QC,VOC,1990,492882.418225595,6986226.5,0.07055059240143374
35,SK,NH3,1990,48590.7790951924,1008330.5,0.048189337816511954
36,SK,CO,1990,522634.282653415,1008330.5,0.5183164474876194
37,SK,SOX,1990,102941.057734678,1008330.5,0.10209059205754265
38,SK,NOX,1990,149297.990635742,1008330.5,0.14806453899365535
39,SK,VOC,1990,186864.347508671,1008330.5,0.18532053479357313
40,NL,NH3,1990,1029.0776493363,576981.5,0.0017835539776167868
41,NL,CO,1990,185455.85339463,576981.5,0.3214242629869935
42,NL,SOX,1990,68820.8237423237,576981.5,0.11927734900048563
43,NL,NOX,1990,52041.8511237401,576981.5,0.09019674135780802
44,NL,VOC,1990,45933.0180313649,576981.5,0.07960916949913456
45,PE,NH3,1990,3416.79920391971,130393.75,0.026203703811875263
46,PE,CO,1990,54865.8351885868,130393.75,0.42077043714585094
47,PE,SOX,1990,3422.95354821019,130393.75,0.026250901965854882
48,PE,NOX,1990,6715.25744306719,130393.75,0.05149984138861863
49,PE,VOC,1990,10543.3995689278,130393.75,0.0808581666600416
50,AB,NH3,1991,96392.6120160835,2587477.25,0.03725351093080471
51,AB,CO,1991,1674240.47593966,2587477.25,0.647055148384265
52,AB,SOX,1991,524144.18481018,2587477.25,0.20256958193938904
53,AB,NOX,1991,585705.325771787,2587477.25,0.22636153642386111
54,AB,VOC,1991,624633.776990753,2587477.25,0.2414064807683828
55,BC,NH3,1991,22310.886792502,3367589.0,0.006625181039759305
56,BC,CO,1991,2353114.49948287,3367589.0,0.6987534700591046
57,BC,SOX,1991,90689.8452481818,3367589.0,0.02693019998823544
58,BC,NOX,1991,270828.072928627,3367589.0,0.08042194962883743
59,BC,VOC,1991,376762.866466494,3367589.0,0.11187911187098366
