"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Persons","249","units","0","v1","1","27463550","","","","0"
"1990-04","Canada","2016A000011124","Persons","249","units","0","v1","1","27567161","","","","0"
"1990-07","Canada","2016A000011124","Persons","249","units","0","v1","1","27691138","","","","0"
"1990-10","Canada","2016A000011124","Persons","249","units","0","v1","1","27807591","","","","0"
"1991-01","Canada","2016A000011124","Persons","249","units","0","v1","1","27854861","","","","0"
"1991-04","Canada","2016A000011124","Persons","249","units","0","v1","1","27928837","","","","0"
"1991-07","Canada","2016A000011124","Persons","249","units","0","v1","1","28037420","","","","0"
"1991-10","Canada","2016A000011124","Persons","249","units","0","v1","1","28127327","","","","0"
"1992-01","Canada","2016A000011124","Persons","249","units","0","v1","1","28181477","","","","0"
"1992-04","Canada","2016A000011124","Persons","249","units","0","v1","1","28269699","","","","0"
"1992-07","Canada","2016A000011124","Persons","249","units","0","v1","1","28371264","","","","0"
"1992-10","Canada","2016A000011124","Persons","249","units","0","v1","1","28474177","","","","0"
"1993-01","Canada","2016A000011124","Persons","249","units","0","v1","1","28533602","","","","0"
"1993-04","Canada","2016A000011124","Persons","249","units","0","v1","1","28600864","","","","0"
"1993-07","Canada","2016A000011124","Persons","249","units","0","v1","1","28684764","","","","0"
"1993-10","Canada","2016A000011124","Persons","249","units","0","v1","1","28786619","","","","0"
"1994-01","Canada","2016A000011124","Persons","249","units","0","v1","1","28835772","","","","0"
"1994-04","Canada","2016A000011124","Persons","249","units","0","v1","1","28907448","","","","0"
"1994-07","Canada","2016A000011124","Persons","249","units","0","v1","1","29000663","","","","0"
"1994-10","Canada","2016A000011124","Persons","249","units","0","v1","1","29096372","","","","0"
"1995-01","Canada","2016A000011124","Persons","249","units","0","v1","1","29141902","","","","0"
"1995-04","Canada","2016A000011124","Persons","249","units","0","v1","1","29211541","","","","0"
"1995-07","Canada","2016A000011124","Persons","249","units","0","v1","1","29302311","","","","0"
"1995-10","Canada","2016A000011124","Persons","249","units","0","v1","1","29396274","","","","0"
"1996-01","Canada","2016A000011124","Persons","249","units","0","v1","1","29446857","","","","0"
"1996-04","Canada","2016A000011124","Persons","249","units","0","v1","1","29514217","","","","0"
"1996-07","Canada","2016A000011124","Persons","249","units","0","v1","1","29610218","","","","0"
"1996-10","Canada","2016A000011124","Persons","249","units","0","v1","1","29708206","","","","0"
"1997-01","Canada","2016A000011124","Persons","249","units","0","v1","1","29751536","","","","0"
"1997-04","Canada","2016A000011124","Persons","249","units","0","v1","1","29818012","","","","0"
"1997-07","Canada","2016A000011124","Persons","249","units","0","v1","1","29905948","","","","0"
"1997-10","Canada","2016A000011124","Persons","249","units","0","v1","1","29994790","","","","0"
"1998-01","Canada","2016A000011124","Persons","249","units","0","v1","1","30028506","","","","0"
"1998-04","Canada","2016A000011124","Persons","249","units","0","v1","1","30080180","","","","0"
"1998-07","Canada","2016A000011124","Persons","249","units","0","v1","1","30155173","","","","0"
"1998-10","Canada","2016A000011124","Persons","249","units","0","v1","1","30231639","","","","0"
"1999-01","Canada","2016A000011124","Persons","249","units","0","v1","1","30260117","","","","0"
"1999-04","Canada","2016A000011124","Persons","249","units","0","v1","1","30314696","","","","0"
"1999-07","Canada","2016A000011124","Persons","249","units","0","v1","1","30401286","","","","0"
"1999-10","Canada","2016A000011124","Persons","249","units","0","v1","1","30492106","","","","0"
"2000-01","Canada","2016A000011124","Persons","249","units","0","v1","1","30525872","","","","0"
"2000-04","Canada","2016A000011124","Persons","249","units","0","v1","1","30594030","","","","0"
"2000-07","Canada","2016A000011124","Persons","249","units","0","v1","1","30685730","","","","0"
"2000-10","Canada","2016A000011124","Persons","249","units","0","v1","1","30783969","","","","0"
"2001-01","Canada","2016A000011124","Persons","249","units","0","v1","1","30824441","","","","0"
"2001-04","Canada","2016A000011124","Persons","249","units","0","v1","1","30910996","","","","0"
"2001-07","Canada","2016A000011124","Persons","249","units","0","v1","1","31020902","","","","0"
"2001-10","Canada","2016A000011124","Persons","249","units","0","v1","1","31129119","","","","0"
"2002-01","Canada","2016A000011124","Persons","249","units","0","v1","1","31169393","","","","0"
"2002-04","Canada","2016A000011124","Persons","249","units","0","v1","1","31253382","","","","0"
"2002-07","Canada","2016A000011124","Persons","249","units","0","v1","1","31360079","","","","0"
"2002-10","Canada","2016A000011124","Persons","249","units","0","v1","1","31451764","","","","0"
"2003-01","Canada","2016A000011124","Persons","249","units","0","v1","1","31480672","","","","0"
"2003-04","Canada","2016A000011124","Persons","249","units","0","v1","1","31550768","","","","0"
"2003-07","Canada","2016A000011124","Persons","249","units","0","v1","1","31644028","","","","0"
"2003-10","Canada","2016A000011124","Persons","249","units","0","v1","1","31737869","","","","0"
"2004-01","Canada","2016A000011124","Persons","249","units","0","v1","1","31777704","","","","0"
"2004-04","Canada","2016A000011124","Persons","249","units","0","v1","1","31846669","","","","0"
"2004-07","Canada","2016A000011124","Persons","249","units","0","v1","1","31940655","","","","0"
"2004-10","Canada","2016A000011124","Persons","249","units","0","v1","1","32039959","","","","0"
"2005-01","Canada","2016A000011124","Persons","249","units","0","v1","1","32076720","","","","0"
"2005-04","Canada","2016A000011124","Persons","249","units","0","v1","1","32141943","","","","0"
"2005-07","Canada","2016A000011124","Persons","249","units","0","v1","1","32243753","","","","0"
"2005-10","Canada","2016A000011124","Persons","249","units","0","v1","1","32353968","","","","0"
"2006-01","Canada","2016A000011124","Persons","249","units","0","v1","1","32395309","","","","0"
"2006-04","Canada","2016A000011124","Persons","249","units","0","v1","1","32470303","","","","0"
"2006-07","Canada","2016A000011124","Persons","249","units","0","v1","1","32571174","","","","0"
"2006-10","Canada","2016A000011124","Persons","249","units","0","v1","1","32680712","","","","0"
"2007-01","Canada","2016A000011124","Persons","249","units","0","v1","1","32717701","","","","0"
"2007-04","Canada","2016A000011124","Persons","249","units","0","v1","1","32786014","","","","0"
"2007-07","Canada","2016A000011124","Persons","249","units","0","v1","1","32889025","","","","0"
"2007-10","Canada","2016A000011124","Persons","249","units","0","v1","1","33002138","","","","0"
"2008-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33050613","","","","0"
"2008-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33127520","","","","0"
"2008-07","Canada","2016A000011124","Persons","249","units","0","v1","1","33247118","","","","0"
"2008-10","Canada","2016A000011124","Persons","249","units","0","v1","1","33372418","","","","0"
"2009-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33427050","","","","0"
"2009-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33511275","","","","0"
"2009-07","Canada","2016A000011124","Persons","249","units","0","v1","1","33628895","","","","0"
"2009-10","Canada","2016A000011124","Persons","249","units","0","v1","1","33757077","","","","0"
"2010-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33807529","","","","0"
"2010-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33889236","","","","0"
"2010-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34004889","","","","0"
"2010-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34131683","","","","0"
"2011-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34166099","","","","0"
"2011-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34230378","","","","0"
"2011-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34339328","","","","0"
"2011-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34457998","","","","0"
"2012-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34516352","","","","0"
"2012-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34592779","","","","0"
"2012-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34714222","","","","0"
"2012-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34836008","","","","0"
"2013-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34883119","","","","0"
"2013-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34958216","","","","0"
"2013-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35082954","","","","0"
"2013-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35211866","","","","0"
"2014-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35249639","","","","0"
"2014-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35323533","","","","0"
"2014-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35437435","","","","0"
"2014-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35559047","","","","0"
"2015-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35575187","","","","0"
"2015-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35611271","","","","0"
"2015-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35702908","","","","0"
"2015-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35822894","","","","0"
"2016-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35871136","","","","0"
"2016-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35970303","","","","0"
"2016-07","Canada","2016A000011124","Persons","249","units","0","v1","1","36109487","","","","0"
"2016-10","Canada","2016A000011124","Persons","249","units","0","v1","1","36258726","","","","0"
"2017-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36314099","","","","0"
"2017-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36398013","","","","0"
"2017-07","Canada","2016A000011124","Persons","249","units","0","v1","1","36545236","","","","0"
"2017-10","Canada","2016A000011124","Persons","249","units","0","v1","1","36721223","","","","0"
"2018-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36798408","","","","0"
"2018-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36898431","","","","0"
"2018-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37065084","","","","0"
"2018-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37250385","","","","0"
"2019-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37325235","","","","0"
"2019-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37422946","","","","0"
"2019-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37601230","","","","0"
"2019-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37811399","","","","0"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37908599","","","","0"
"2020-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38000056","","","","0"
"2020-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38037204","","","","0"
"2020-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38033014","","","","0"
"2021-01","Canada","2016A000011124","Persons","249","units","0","v1","1","38068872","","","","0"
"2021-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38153211","","","","0"
"2021-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38246108","","","","0"
"2021-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38436447","","","","0"
"2022-01","Canada","2016A000011124","Persons","249","units","0","v1","1","38526760","","","","0"
"1990-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","576278","","","","0"
"1990-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","577167","","","","0"
"1990-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","577368","","","","0"
"1990-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","577113","","","","0"
"1991-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","577377","","","","0"
"1991-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","578397","","","","0"
"1991-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","579644","","","","0"
"1991-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","579549","","","","0"
"1992-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","579425","","","","0"
"1992-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","579761","","","","0"
"1992-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","580109","","","","0"
"1992-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","579624","","","","0"
"1993-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","580819","","","","0"
"1993-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","580369","","","","0"
"1993-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","579977","","","","0"
"1993-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","578194","","","","0"
"1994-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","577128","","","","0"
"1994-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","575670","","","","0"
"1994-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","574466","","","","0"
"1994-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","572068","","","","0"
"1995-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","570563","","","","0"
"1995-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","569068","","","","0"
"1995-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","567397","","","","0"
"1995-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","565008","","","","0"
"1996-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","563679","","","","0"
"1996-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","561646","","","","0"
"1996-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","559698","","","","0"
"1996-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","557281","","","","0"
"1997-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","555432","","","","0"
"1997-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","553115","","","","0"
