SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,SOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,110747.399637798,90689.8452481818,79350.3244725266,77422.0600451359,88186.6621085845,82358.9697832929,78644.3073207129,82107.3215675099,81153.9661185652,81576.91949748852,80071.81692122918,79950.09033425781,67490.22609686853,65659.59900223221,71837.34705743834,65170.85023986548,65583.44409919913,63996.48966519895,66145.00399562388,65765.48338695148,65317.098576914956,71221.31596841455,73210.97682913509,75419.82356246334,75847.2205857285,62540.79620334712,68443.73119245718,71916.754088719,73356.01798952006,68922.92225545063,69915.38885010494
ORE AND MINERAL INDUSTRIES,,,23820.3034359026,23267.0298314752,21755.9674342031,22972.003696678,24032.1179519769,23674.9432376248,21883.2584278142,19915.3202207692,17512.2042669723,14454.455625058272,11452.80878217459,15551.10782328557,14845.846827190453,16605.284856904767,18051.32228754051,18976.84774570341,15430.436619818187,13402.632812343623,13442.590691681522,11303.531511778494,11621.250354739768,11731.739856739763,11687.461036168337,10250.155484168337,8432.300022596906,7539.917016882623,14438.675407311193,15575.940643882624,16289.266482739768,14548.556263596907,13116.95542202548
,Aluminium Industry,,1714.0823,2296.766472106,1825.70898289436,1544.38885810702,1441.53399093673,1713.2976,2369.50737807603,3649.59927332832,4792.3926808508,5088.274369263376,5450.6125753999995,8645.488784952367,6421.957454966805,7047.069074425912,7583.332272088953,7417.443200000001,7883.029,6877.195,7114.796,6277,5488.8027,5257.39,6320.89,5074.7,3878.38,3101.9,9394,9911.24,12019.3,10190.64,8801.85
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,1714.0823,2296.766472106,1825.70898289436,1544.38885810702,1441.53399093673,1713.2976,2369.50737807603,3649.59927332832,4792.3926808508,5088.274369263376,5450.6125753999995,8645.488784952367,6421.957454966805,7047.069074425912,7583.332272088953,7417.443200000001,7883.029,6877.195,7114.796,6277,5488.8027,5257.39,6320.89,5074.7,3878.38,3101.9,9394,9911.24,12019.3,10190.64,8801.85
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,73.0821609152143,113.551577718634,174.534495787767,282.725416617631,395.071686341438,455.3946,377.776456182265,313.141582425292,191.298911558851,102.36164284459193,43.6040577142857,41.075130042311656,54.45863144561632,72.27851794092331,97.59880511532442,92.96681048457019,49.2366531428571,51.664496,49.7707785714286,42.7785911428571,41.6132265714286,41.2733285714286,32.630208,41.467556,48.2897944285714,46.8330887142857,44.8179791428571,33.7470157142857,53.8495545714286,44.7208654285714,33.0186628571429
,Cement and Concrete Industry,,1707.74673716952,1384.16351952467,1237.57692767637,1421.78179034525,1447.54409520892,1114.7021,1313.10327767943,1088.73195716035,787.483261205676,531.925605130061,272.99237999999986,309.49970488774755,232.9369494638969,326.5288042257697,267.3503904861474,328.423,478.9,224.3,348.388,261.11400000000003,342.02020000000005,332.4636,290.1387,284.286,221.90300000000002,200.26800000000003,161.951,403.324,359.9809,247.8222,205.9
,,Cement Manufacturing,1702.4474,1377.94330651061,1232.91786860106,1416.42135915965,1442.08197676034,1109.5174,1306.32391061427,1082.37387565648,781.755060960698,526.604137455604,264.5,303.3656432651905,226.02600229442675,317.9021345076851,257.2522279870723,320.109,478.9,224.3,348.388,261.11400000000003,308.3763,302.2886,282.8927,273,221.8,180.17000000000002,161.82999999999998,403.2,359.8619,247.7012,205.6
,,Concrete Batching and Products,3.5774,4.14772108873977,3.15593471439863,3.55665041325602,3.4821805228433,3.2018,4.72531499910959,4.23452930957238,3.95986435115675,3.812784016611291,6.8771,4.963014065021154,6.511722214295132,8.157305151630053,9.576958197206448,7.0649999999999995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,0.49,0.576171743682798,0.442612183593823,0.503355150578846,0.497357394169147,0.46,0.59459352637532,0.463672017273552,0.377575066072737,0.31542390042698,0.491,0.327362928277257,0.399224955174991,0.46936456645457,0.521204301868646,0.366,-,-,-,-,-,-,0.097,0.106,0.103,0.098,0.121,0.124,0.119,0.121,0.3
,,Lime Manufacturing,1.23193716951788,1.49632018164059,1.0605121773119,1.30042562176482,1.48258053156587,1.5229,1.4594585396759,1.65988017702801,1.39076082774932,1.193259757418463,1.12428,0.8436846292585289,-,-,-,0.883,-,-,-,-,33.6439,30.175,7.149,11.18,-,20,-,-,-,-,-
,Foundries,,7.44447211832577,5.8169694809858,4.73860158927444,4.63778291939454,10.5130852601462,3.7747,1.23233802693166,1.49724118273456,1.35075024080683,1.3692366208861206,0.5654,0.5837926050284081,0.627823596468526,0.6876261195597211,0.6288858888266967,0.6063999999999999,0.007326675329645313,0.007316343623997979,0.007913110091792398,0.007920635636339988,0.00792816833784863,0.00792816833784863,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,7.44447211832577,5.8169694809858,4.73860158927444,4.63778291939454,10.5130852601462,3.7747,1.23233802693166,1.49724118273456,1.35075024080683,1.3692366208861206,0.5654,0.5837926050284081,0.627823596468526,0.6876261195597211,0.6288858888266967,0.6063999999999999,0.007326675329645313,0.007316343623997979,0.007913110091792398,0.007920635636339988,0.00792816833784863,0.00792816833784863,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627,0.007928168337848627
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,4.08399527321523,3.09514178720529,2.35590881230946,2.07427316241347,3.88999237115872,0.88541892542101,0.425898673284243,0.71593129999396,0.863392985499302,1.5445249407537651,0.62288235765838,0.6427610216546155,0.690819214536617,0.7561534626333298,0.6911225545385707,0.66598235765838,0.00864,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00864,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),3.4063,2.50544984873372,1.82389195098665,1.48130943145053,2.29236376848974,0.1522,0.100850862775277,0.196741581897826,0.258818373306929,0.49026238522475096,0.20589999999999997,0.22116638652971932,0.2472299012298531,0.28124488275706083,0.26696876551821913,0.267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,0.677695273215226,0.589691938471571,0.532016861322811,0.59296373096294,1.59762860266898,0.73321892542101,0.325047810508966,0.519189718096134,0.604574612192373,1.0542625555290142,0.41698235765838,0.4215946351248961,0.4435893133067639,0.47490857987626894,0.4241537890203516,0.39898235765838,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,0.6633,0.746206259129808,0.601448731092178,0.715130639767707,0.736482590984928,0.708,2.66087975223581,3.67976919355497,4.52010919950718,5.279182572804658,11.023,7.9393010529068615,10.348571977651076,12.89455173402282,15.071465199646445,11.077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,0.2373,0.215235554267362,0.171165193957941,0.201081098176213,0.204849198093922,0.195,2.02558766784028,3.19774400256503,4.14029607925847,4.974425193617425,10.572,7.6011049149867045,9.893771744576547,12.313581396903121,14.378478780239732,10.559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),0.426,0.530970704862446,0.430283537134238,0.514049541591494,0.531633392891006,0.513,0.635292084395533,0.482025190989938,0.379813120248706,0.304757379187233,0.451,0.338196137920157,0.45480023307453,0.580970337119698,0.692986419406713,0.518,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,5188.05217042631,4334.74539492594,3380.20885795512,4582.30812048411,5595.6439704552,5244.50751869935,5090.87150858427,4542.5241056265,3827.51518792291,3225.9605631869194,2585.750486702641,2822.9922385728196,773.2365765254883,955.9301289959448,721.289346207086,838.805552861171,702.854,1067.25,750.233,584.5129999999999,1108.875,978.431,718.5912000000002,434.752,354.27819999999997,121.29799999999999,155.5146,413.02729999999997,258.1274,252.64227,292.629931
,,Coal Mining Industry,2872.72363529686,2327.74764803105,1773.0814993639,2716.38277192937,2936.28370473399,2848.67972935507,2803.46842974234,2692.8745811322,2267.11157702728,2061.3713236949416,1892.3690108611713,2076.948200165056,152.12246590486316,139.1654551112878,161.45437323328392,220.82365286117118,203.504,339.03,292.28999999999996,269.7,553.98,725.9399999999999,241.6242,285.916,122.3932,4.825,-,242.2803,113.3464,132.63326999999998,129.048321
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
