SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NH3 (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,38047.3103045138,40181.5562691484,41774.5039242114,43219.5541358711,44933.5972465872,47688.5852062419,49703.1898412789,51391.9282514993,53414.1246840866,51170.85914166043,51708.00024614059,51392.41794504378,53829.164945019744,56404.06551229634,58058.27106445188,55415.49126414799,58361.670749780256,58139.11616917103,57285.05354016318,53950.77449772192,55411.523422876446,51792.810902355355,52119.22589770793,57023.54717426679,54506.53899277619,56262.136056388554,57393.87692499508,57233.70401596893,58363.658370399615,59197.97871464723,62579.30676476699
ORE AND MINERAL INDUSTRIES,,,2.13788122825495,2.25402224012893,2.25402224012893,2.04824867042707,2.25776357775987,2.10062739726027,2.37000370668815,2.25776357775987,2.23531555197421,2.4448304593070107,2.3932,2.42755,2.4619,3.0351,2.0351,1.1151,1.131097,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Cement and Concrete Industry,,0.0367600239850592,0.0431011281224819,0.0431011281224819,0.0318662369057212,0.0433053988718775,0.0347260273972603,0.049433521353747,0.0433053988718775,0.0420797743755036,0.05351893634166,0.0507,0.05185,0.053,-,-,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,0.0367600239850592,0.0431011281224819,0.0431011281224819,0.0318662369057212,0.0433053988718775,0.0347260273972603,0.049433521353747,0.0433053988718775,0.0420797743755036,0.05351893634166,0.0507,0.05185,0.053,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,0.0228390681563977,0.0267788074133763,0.0267788074133763,0.019798549556809,0.0269057211925866,0.0215753424657534,0.0307131345688961,0.0269057211925866,0.0261442385173247,0.0332514101531023,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,0.0228390681563977,0.0267788074133763,0.0267788074133763,0.019798549556809,0.0269057211925866,0.0215753424657534,0.0307131345688961,0.0269057211925866,0.0261442385173247,0.0332514101531023,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.47845,1.4923,2,1,-,1.131097,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.131097,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.4646,1.47845,1.4923,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,0.613682136113493,0.71954230459307,0.71954230459307,0.531983883964544,0.722952457695407,0.579726027397261,0.825257050765512,0.722952457695407,0.702491539081386,0.8934601128122485,0.8463999999999999,0.86575,0.8851,1.0036,1.0036,1.0036,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),0.613682136113493,0.71954230459307,0.71954230459307,0.531983883964544,0.722952457695407,0.579726027397261,0.825257050765512,0.722952457695407,0.702491539081386,0.8934601128122485,0.8463999999999999,0.86575,0.8851,1.0036,1.0036,1.0036,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
