SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,72575.499647239,67553.4504986966,66834.4039186992,67323.1494239292,70904.853820492,73502.2244790946,72193.0219118398,73438.9717528475,73108.0033153065,74697.6144952411,75624.71754262713,72686.49597803115,71476.83072556187,69481.46752221696,67179.7678688485,66465.3129038366,59596.08749118106,59757.71618138886,61156.24106361297,51443.1341331125,49076.265155012064,48055.3296149968,50955.30835391681,46277.15847771033,45393.56259202256,40743.79730816589,39297.09676831621,40879.0531936511,43003.84924884436,41662.90579090606,38722.51151862305
ORE AND MINERAL INDUSTRIES,,,1117.75798886602,1011.69577454994,869.332740938287,932.080387958264,993.385575406712,1046.66229065428,1002.84198228707,959.491325715865,920.227760325435,880.7712163662829,827.4319574206722,742.9131124682918,662.3030945159106,621.1353305635294,463.5279620873391,1814.7345465159106,330.5893909491894,351.2472771603624,413.84665925573523,404.7607972406311,429.6637629484187,427.6738415198473,435.5000255198472,437.2673500912758,460.52833837699006,502.74078351984724,435.8431756627044,473.2767918055615,447.3939829484186,432.0639319484186,415.58772109127574
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,10.5144969900286,14.4849936264429,12.5577695386,14.2169573471714,13.4029040650143,10.2527803857143,11.7022025714286,13.8629827142857,20.053982,25.9050832857143,18.0388724285714,16.7763941428571,19.4227428571429,12.8918455714286,11.5808104285714,10.5853948571429,10.6825085714286,12.746175,5.75398757142857,25.5409068571429,14.8583982857143,13.6444768571429,16.3636608571429,24.3269854285714,23.8899737142857,40.4964188571429,40.617811,36.6604271428571,28.4543182857143,28.6242672857143,20.7580564285714
,Cement and Concrete Industry,,266.26,177.31,64.89,178.83,292.77,406.71,399.2926,391.8752,384.4578,377.0404,369.623,272.31649999999996,175.01,178.421,205.06,1560.5189999999998,174.599,199.6,293.319,291.707,292.91,287.334,298.941,302.449,286.288,313.099,290.3,292.1,287.7,268.4,273.1
,,Cement Manufacturing,240.61,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,1364.6799999999998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,0.71,0.45,0.82,0.636666666666667,0.453333333333333,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
