SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,VOC (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,96063.6932587365,94911.7642805344,94467.1966338162,92680.3363286771,94458.8455665962,95890.4647261974,95768.2670927393,91510.0314075009,88566.0759500474,89261.8414883807,85976.64669199311,78751.90239585208,78680.9432018662,77944.72558480057,77735.48460516497,81055.381811961,79103.47182060988,74991.72933829157,74713.35611728604,68805.74837061568,70387.46789699658,65376.70512326271,68368.39650126443,68251.02571790903,67358.4219534709,63755.776993964086,61301.114645172805,61764.25127347562,64355.55982619489,63751.36961581039,60968.97021455503
ORE AND MINERAL INDUSTRIES,,,224.258268135557,350.249755256915,313.341448485303,344.666027912777,331.816703602456,282.148195502414,308.487055031784,347.333381840331,456.093501749178,558.1960193884642,421.75490433115675,385.3224748594264,419.2859933674752,303.4461187925669,288.8230554950017,459.51613706536824,247.13644168386463,282.36200428188397,143.10284088799628,557.7314923896039,424.2330507057393,438.1119550598459,523.5350493066469,629.7853967437104,529.8010423111887,787.6255107470148,786.983720311605,723.76528850599,576.1560219397483,562.6855153301742,407.7825025388389
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,189.360640198091,260.867226360871,226.158919589259,256.040031918066,241.379354302121,184.647259825218,210.750602026416,249.665132276107,361.161820070165,466.53712108337334,324.8707412979814,302.1341618262511,349.7935303342999,232.17545575939158,208.5643924618264,190.6374740321929,192.3864416838646,229.552004281884,103.62633336153628,459.9784923896039,267.5920507057393,245.7299550598459,294.7010493066469,438.1163967437104,430.24604231118866,729.3195107470149,731.505720311605,660.2352885059901,512.4475219397483,515.5082153301743,373.8418355447824
,Cement and Concrete Industry,,1.6,3.78,1.38,1.30666666666667,1.23333333333333,1.16,1.15184,1.14368,1.13552,1.12736,1.1192,1.12355,1.1279,1.13,1.13,187.17999999999998,-,-,-,-,11.109,10.144,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,1.01,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,186.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,0.01,0.01,0.02,0.0166666666666667,0.0133333333333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.109,10.144,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,0.58,3.07,0.66,0.59,0.52,0.45,0.44184,0.43368,0.42552,0.41736,0.4092,0.41355,0.4179,0.42,0.42,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,30.7276279374664,82.8825288960436,82.9025288960436,65.9152692964488,49.2906352403032,37.9228788051575,38.2103038110555,38.1988421708599,35.5178786458377,32.29776124347943,37.579,37.7943,38.0096,38.227599999999995,36.1276,38.227599999999995,13.8,11.5,7.880507526459998,73.673,109.512,144.478,202.04399999999998,163.82,70.32,29.05,27.587000000000003,34.977000000000004,34.4775,17.3593,7.49304699405651
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,30.6676279374664,82.8225288960436,82.8525288960436,65.8719359631155,49.2539685736365,37.8928788051575,38.1792638110555,38.1667621708599,35.4847586458377,32.26360124347943,37.5438,37.7579,37.972,38.19,36.09,38.19,13.8,11.5,7.880507526459998,73.673,109.512,144.478,202.04399999999998,163.82,70.32,29.05,27.587000000000003,34.977000000000004,34.4775,17.3593,7.49304699405651
,,Non-Ferrous Foundries,0.06,0.06,0.05,0.0433333333333333,0.0366666666666667,0.03,0.03104,0.03208,0.03312,0.03416,0.0352,0.0364,0.0376,0.0376,0.0376,0.0376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,0.68,0.79,1.01,19.4233333333333,37.8366666666667,56.25,56.09088,55.93176,55.77264,55.61352,55.4544,41.5272,27.6,29.142,40.23,40.7,40.95,41.31,31.596,24.08,36.02,37.76,26.79,27.849,29.235,29.256,27.891,28.553,29.231,29.818,26.44762
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),0.68,0.79,1.01,19.4233333333333,37.8366666666667,56.25,56.09088,55.93176,55.77264,55.61352,55.4544,41.5272,27.6,29.142,40.23,40.7,40.95,41.31,31.596,24.08,36.02,37.76,26.79,27.849,29.235,29.256,27.891,28.553,29.231,29.818,26.44762
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,0.34,0.38,0.34,0.430726698262243,0.526714060031596,0.618056872037915,0.733429194312796,0.843967393364929,0.955643033175355,1.0702570616113745,1.1815630331753555,1.1932630331753555,1.2049630331753554,1.2210630331753554,1.2210630331753554,1.2210630331753554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),0.27,0.31,0.27,0.360726698262243,0.456714060031596,0.548056872037915,0.663429194312796,0.773967393364929,0.885643033175356,1.0002570616113744,1.1115630331753554,1.1232630331753555,1.1349630331753553,1.1510630331753553,1.1510630331753553,1.1510630331753553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Potash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Rock, Sand and Gravel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Non-Ferrous Refining and Smelting Industry,,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Primary Ni, Cu, Zn, Pb",1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,8246.05363657251,8185.97670673796,7877.11852379123,7794.43655162802,7957.38689644219,7880.8767276161,7707.9069008794,7813.69945016134,7780.72786977395,7492.337593572819,7454.507060929974,7589.097309532704,7891.10945778987,7991.926402172938,8018.059020621463,9210.162515024202,8933.370691969805,8150.255180776826,8095.09166531553,7884.894143117285,8810.319786800286,10884.577252938749,13427.480472511816,13472.289716441137,13186.711912935305,12005.486488634011,11519.56721861653,11471.013516272693,11942.680123507773,11889.202268991367,11705.729414134688
,Downstream Oil and Gas Industry,,3183.25454936435,3209.13816176844,3227.40834828307,3242.64955706527,3276.87945605074,3295.95070096962,3285.32947417878,3261.93499360778,3270.82689703721,3285.486858466268,3008.323827119786,2997.6796785461256,3010.5446699724653,3094.95560597035,3101.8484419682345,3028.828519972026,946.7572750174552,998.1762860145449,945.5987010100274,1197.233746006626,1238.599685003516,903.6858700017881,1085.0489295016828,1042.090659089608,1071.1805853858034,1007.5620242033986,1085.9266229777327,1049.0690729777327,1128.2308784915715,1151.4079684915716,1024.7640984915715
,,Petroleum Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Products Bulk Storage and Distribution,3182.86186134875,3208.71253375152,3226.91646226352,3242.10237504352,3276.29512202752,3295.34055494537,3284.69940215375,3261.29428358232,3270.16442501089,3284.8122364394612,3007.660437093425,2997.0724485219966,3009.993599950568,3094.4577799505682,3101.4038599505684,3028.288519950568,946.318,997.8102499999999,945.3463499999999,1197.067,1238.5112,903.64087,1085.00658,1042.03931,1071.12689,1007.5061099999999,1085.86991,1049.01236,1128.1730799999998,1151.35017,1024.7062999999998
,,Refined Petroleum Product Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Distribution,0.392688015604019,0.425628016912937,0.491886019545794,0.547182021743059,0.584334023219347,0.610146024245024,0.630072025036812,0.640710025459528,0.662472026324272,0.6746220268070698,0.6633900263607502,0.6072300241291523,0.5510700218975544,0.49782601978182794,0.44458201766610145,0.5400000214576721,0.43927501745522024,0.3660360145449638,0.2523510100275278,0.16674600662589076,0.08848500351607799,0.04500000178813934,0.04234950168281794,0.05134908960808487,0.05369538580341824,0.055914203398600815,0.05671297773286654,0.05671297773286654,0.057798491571740475,0.057798491571740475,0.057798491571740475
,,Other (Downstream Oil and Gas Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upstream Oil and Gas Industry,,5062.79908720815,4976.83854496953,4649.71017550816,4551.78699456276,4680.50744039145,4584.92602664648,4422.57742670062,4551.76445655357,4509.90097273674,4206.850735106552,4446.183233810188,4591.417630986577,4880.564787817403,4896.970796202589,4916.210578653228,6181.333995052175,7986.61341695235,7152.078894762281,7149.492964305503,6687.66039711066,7571.720101796772,9980.891382936961,12342.431543010134,12430.199057351529,12115.531327549503,10997.924464430615,10433.640595638797,10421.944443294959,10814.449245016196,10737.794300499792,10680.965315643114
