SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NH3 (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,4594.71677951292,4562.91818368059,4680.08345359203,4605.94942864521,4901.95006282129,5186.89203297368,5046.90492167546,5089.9484814223,5260.28275048259,5212.847125124886,5241.0236525657165,5290.999653627558,5337.07445172883,5583.594990444116,5674.618101856227,5663.548261388308,4772.791176931575,4543.817642839976,4388.618836795378,4221.744013132929,4094.6458026210616,4149.405179905034,4014.0064625930277,3741.6431040494535,3912.373799912854,3759.9587568152792,3916.499164360936,3768.891210774329,3666.7093767029864,3660.2180307636077,3649.8704308285674
ORE AND MINERAL INDUSTRIES,,,6.47882911316811,6.48538656315318,7.20040405494177,7.26638910122424,7.19088990743506,7.62848020304569,7.22788936996118,8.04452036428785,8.16474601355831,8.371445058226339,7.7254000000000005,7.76995,6.963899999999999,5.51,5.51,2.42,-,-,-,-,1.771,1.118,-,0.0191906876152652,-,-,-,-,-,-,-
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Cement and Concrete Industry,,0.94612911316811,0.92498656315318,1.68770405494177,1.73368910122424,1.67818990743505,2.10038020304569,1.71518936996118,2.53182036428785,2.59524801433264,2.79874505822634,2.2127,2.30165,1.526,1.56,1.56,1.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,0.553900507614213,0.541522842639594,0.988047106598985,1.01496852791878,0.982477157360406,1.22964365482234,1.00413807106599,1.48222538071066,1.51935837563452,1.63849340101523,1.2954,1.4107,1.526,1.56,1.56,1.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,0.392228605553897,0.383463720513586,0.699656948342789,0.718720573305464,0.695712750074649,0.87073654822335,0.711051298895193,1.04959498357719,1.07588963869812,1.16025165721111,0.9173,0.89095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,3.922,3.9497,3.902,3.922,3.902,3.9174,3.902,3.902,3.95879799922567,3.9619999999999997,3.902,4.087899999999999,4.287799999999999,3.09,3.09,-,-,-,-,-,1.771,1.118,-,0.0191906876152652,-,-,-,-,-,-,-
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,1.9844,1.9844,1.9844,1.9844,1.9844,1.9844,1.9844,1.9844,1.9844,1.9844,1.9844,2.0698,2.1552,3.09,3.09,-,-,-,-,-,1.771,1.118,-,-,-,-,-,-,-,-,-
,,Potash,1.9176,1.9176,1.9176,1.9176,1.9176,1.9176,1.9176,1.9176,1.9176,1.9176,1.9176,2.0181,2.1186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Rock, Sand and Gravel",0.02,0.0477,-,0.02,-,0.0154,-,-,0.0567979992256679,0.06,-,-,0.014,-,-,-,-,-,-,-,-,-,-,0.0191906876152652,-,-,-,-,-,-,-
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Non-Ferrous Refining and Smelting Industry,,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.3804,1.1501,0.86,0.86,0.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Primary Ni, Cu, Zn, Pb",1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.6107,1.3804,1.1501,0.86,0.86,0.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,4.0548,4.0548,4.0548,4.0548,4.0548,3.6,0.1,4.0548,4.0548,4.0548,4.0548,4.0548,4.0548,3.94,3.94,3.94,3.0833685,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Downstream Oil and Gas Industry,,4.0548,4.0548,4.0548,4.0548,4.0548,3.6,0.1,4.0548,4.0548,4.0548,4.0548,4.0548,4.0548,3.94,3.94,3.94,3.0833685,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Refining,4.0548,4.0548,4.0548,4.0548,4.0548,3.6,0.1,4.0548,4.0548,4.0548,4.0548,4.0548,4.0548,3.94,3.94,3.94,3.0833685,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Products Bulk Storage and Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Product Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Downstream Oil and Gas Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upstream Oil and Gas Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Accidents and Equipment Failures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Disposal and Waste Treatment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Heavy Crude Oil Cold Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Light/Medium Crude Oil Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Production and Processing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Transmission and Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
