SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,78725.0492842005,74449.4628845198,72756.8390047243,69940.4768748223,70306.5808953268,67899.6213030197,71376.1860156218,74847.4350654717,78038.6702290963,83925.7245378701,88730.86081734189,84921.88219047479,83501.0712269914,79852.20766913038,76795.55272286739,70289.64151028657,61366.53003180855,58689.18264221796,52807.6508796174,48719.84210604441,47372.37664529698,48545.78809977774,38997.115390422674,34067.144252654434,31815.18829877725,29655.100743568284,31206.1872353416,28405.157694397272,27771.219372212767,26794.5082908475,23737.029064915623
ORE AND MINERAL INDUSTRIES,,,1222.12741933424,1185.7010091786,1113.25004123409,1060.82453966246,991.582857576199,937.636948697143,1014.05777214286,1111.57174157143,1172.34847514286,1285.7494304285713,1327.7519502483024,1101.961507279875,1200.264758025734,1141.1608847715922,1241.118819358155,1102.475238533533,651.0372234381279,680.8574648192474,613.4038355676619,533.0114789289723,929.5710124522623,907.9583397429808,835.511348314409,601.0287771715518,666.4694726001228,450.29993317155186,450.3179331715518,456.6474020286948,436.64415745726575,696.8210094572659,216.1535206001228
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,75.9422544868,109.146938378029,96.2970670676857,112.637277819114,113.453874480886,123.488713697143,116.936337142857,131.586226571429,109.578545142857,140.192215428571,99.2644974285714,106.359511142857,115.950918571429,44.146752,46.6431457142857,49.0738448571429,48.1541208571429,51.1760711428571,74.8918114285714,129.155527428571,391.868118571429,453.949488571429,406.649397142857,263.50092600000005,422.08762142857097,143.017082,143.01708200000002,170.01755085714302,158.455306285714,156.615858285714,102.023669428571
,Cement and Concrete Industry,,604.093214847436,591.077645800566,588.056349166405,575.896661843347,562.443043095313,555.08,556.8345,558.589,560.3435,562.098,563.8525,556.385,548.92,560.92,555.352,525.406,123.899,120.873,100.666,83.432,65.46799999999999,37.529,48.724999999999994,51.664,69.80199999999999,21.406000000000002,65.881,31.34,33.467,34.854,34.19
,,Cement Manufacturing,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,12.0632148474363,11.7936458005662,21.5183491664045,22.104661843347,21.397043095313,26.78,33.59456,40.40912,47.22368,54.03824,60.8528,54.98515,49.12,74.1,81.1,50.798,92.803,87.123,68.595,54.517,39.821,37.529,48.724999999999994,51.664,69.80199999999999,21.406000000000002,28.261,31.34,33.467,34.854,34.19
,,Lime Manufacturing,150.03,137.284,124.538,111.792,99.046,86.3,81.23994,76.17988,71.11982,66.05976,60.9997,59.39985,57.8,44.82,32.252,32.608,31.096,33.75,32.071,28.915,25.647,-,-,-,-,-,37.62,-,-,-,-
,Foundries,,0.30195,0.260425,0.254625,0.2226,0.19194,0.148235,0.276595,0.282335,0.23541,0.177855,0.26325281973068965,0.26354613701787327,0.263839454305057,0.26413277159224063,0.2636736438694147,0.2663936763901676,0.2641025809849175,0.2663936763901676,0.28602413909038493,0.2839515004013242,0.28189388083319866,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,0.30195,0.260425,0.254625,0.2226,0.19194,0.148235,0.276595,0.282335,0.23541,0.177855,0.26325281973068965,0.26354613701787327,0.263839454305057,0.26413277159224063,0.2636736438694147,0.2663936763901676,0.2641025809849175,0.2663936763901676,0.28602413909038493,0.2839515004013242,0.28189388083319866,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986,0.2798511715517986
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,203.39,206.562,209.734,212.906,216.078,219.25,301.9298,384.6231,467.2894,549.9692000000001,632.649,411.5749500000001,495.9,504.2,575.2,444.43,389.92,428.142,365.36,213.74,337.75300000000004,350.02,305.9171,148.38400000000001,43.3,85.697,4.04,3.8100000000000005,3.142,266.8713,79.66
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,149.14,152.312,155.484,158.656,161.828,165,248.92152,332.84304,416.76456,500.6860800000001,584.6076,366.3892500000001,453.57,464,529,397,349,385.222,323,193.84,305.083,307.53,263.42,108.92,-,-,-,-,-,262.2953,75.1
