SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,VOC (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,82132.9747951239,80675.1116963263,81860.910406052,82289.3915954814,82626.2094850151,80938.1989008094,80181.4954564024,78355.6506392085,73655.9645408789,72226.19458535116,68370.50187668271,60076.5260426364,62410.7412636715,59882.70510514399,59986.77189708205,53964.4163123107,49961.140535169594,49087.75932907562,48691.266728167044,45697.646988010136,47088.01725521535,44542.924752745705,41865.25367513357,39232.74132914988,40151.81841530239,38827.48469879338,33231.19137808768,28728.6981592341,28217.943814127648,26479.740130416994,23965.50653908715
ORE AND MINERAL INDUSTRIES,,,741.877411595357,1052.22601721455,963.43360448632,1127.63833288036,1157.29481047776,1266.7070448853,1210.98387109315,1338.83235940425,1148.95443284801,1415.1388751139186,1061.3506596547368,1120.4951349949106,1281.3814189354025,737.0645321265471,762.9280811393514,787.0487420389563,584.080700870105,634.3191032266759,813.1054610667564,1169.7902794609608,3514.6953254395207,4064.360036651241,3656.00264131192,2396.1387636068403,3771.6344449207995,1423.4696146715405,1239.7756146715406,1473.7814315812477,1373.5729941697962,1378.6269063997963,890.245972940014
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,658.207701595357,945.99977221455,834.62719948632,976.251287880365,983.328905150318,1070.3029948853,1013.51215109315,1140.48586440425,949.740600013128,1215.0758036139187,860.3465507313166,921.84054641562,1004.9713183592144,382.629306480109,404.26608273940127,425.33347014976414,417.3620262647621,443.5539133154839,649.1032877787566,1119.4184769938886,3396.4044838598907,3934.476946097551,3524.5169748688627,2283.8186730531497,3658.323354367109,1239.55952411785,1239.55952411785,1473.5783410275571,1373.3659036161057,1357.4230158461057,884.2608823863236
,Cement and Concrete Industry,,81.14,103.838,126.536,149.234,171.932,194.63,194.6465,194.663,194.6795,194.696,194.7125,194.68725,194.3643,194.37,194.376645357,194.383290714,-,-,-,-,-,-,-,-,-,0.597,0.031,0.018,0.022,0.54,-
,,Cement Manufacturing,26.69,60.152,93.614,127.076,160.538,194,194,194,194,194,194,194,194,194,194,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
