SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,52041.8511237401,48559.8762151526,48010.3120325401,49869.8024619507,49464.5915342602,50083.2625594232,50847.5588821717,53446.4857860154,54663.7462536841,55482.71437275554,56344.56213927707,57338.09528039561,59720.14272523672,62657.03962440597,57056.79966917122,58686.07255748084,53455.549483206945,54989.66637608261,53334.950074692264,47400.67203151977,47254.71649299816,46103.18605766064,41037.461640013535,39067.895278319374,40701.574386026026,39272.421999823346,40377.54483747375,41551.71862543191,40353.207807653314,41859.573454461606,37882.78135900267
ORE AND MINERAL INDUSTRIES,,,6936.83817375429,7096.75159474857,7259.26911999143,7418.86497428431,7576.85166404286,7737.61725788,7697.02609514286,7657.71780457143,7621.32292542857,7582.2088622857145,7443.627675714286,5578.536925714286,3715.1456657142858,6140.624575428572,4732.799516857143,6719.893120571429,6233.435234285715,6283.424222571429,6032.263246,3928.283155714286,5716.723363714285,4571.239312857143,5244.379822857142,5002.916321142858,5248.313332857143,5463.665948285714,5561.962948285714,7050.464908285715,5686.368244285714,6682.333554285714,6608.406102857143
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,7.22817375428571,6.76785474857143,8.91163999142857,8.13375428431429,5.74670404285714,6.13855788,4.71001514285714,4.56434457142857,7.33208542857143,7.38064228571429,6.55517571428571,6.55517571428571,8.25466571428571,9.03157542857143,6.84651685714286,8.64312057142857,8.74023428571429,8.30322257142857,9.177246,9.95415571428572,8.59456371428571,7.52631285714286,5.82682285714286,3.69032114285714,4.12733285714286,6.36094828571429,6.36094828571429,13.1589082857143,7.04074428571429,17.2376842857143,10.9252928571429
,Cement and Concrete Industry,,174.32,159.17462,144.02924,128.88386,113.73848,98.5931,98.5931,98.5931,98.5931,98.5931,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,174.32,159.17462,144.02924,128.88386,113.73848,98.5931,98.5931,98.5931,98.5931,98.5931,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,1826.92,2074.99018,2323.06036,2571.13054,2819.20072,3067.2709,2964.81498,2862.35906,2759.90314,2657.44722,2554.9913,2980.49565,3406,5525,4283,5771,5714,5733,5534.34,3518.766,5298.289,4079.305,4619.101,4280.542,4323.238,4564.876,4778.319,5140.041,4218.5,5004.6,4621.937
,Mineral Products Industry,,88.53,78.96782,69.40564,59.84346,50.28128,40.7191,33.49452,26.26994,19.04536,11.82078,4.5962,4.6936,4.791,4.89,4.89,4.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),88.53,78.96782,69.40564,59.84346,50.28128,40.7191,33.49452,26.26994,19.04536,11.82078,4.5962,4.6936,4.791,4.89,4.89,4.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,4839.84,4776.85112,4713.86224,4650.87336,4587.88448,4524.8956,4595.41348,4665.93136,4736.44924,4806.96712,4877.485000000001,2586.792500000001,296.1,601.703,438.063,935.3599999999999,510.69500000000005,542.121,488.746,399.563,409.83979999999997,484.408,619.452,718.684,920.9479999999999,857.239,741.05,1860.995,1447.476,1647.1970000000001,1961.7
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,4839.84,4776.85112,4713.86224,4650.87336,4587.88448,4524.8956,4595.41348,4665.93136,4736.44924,4806.96712,4877.485000000001,2586.792500000001,296.1,601.703,265.9,212.3,272.1,287.577,249.727,234.74,234.275,217.959,148.52,222.717,229.50699999999998,165.22,101.74,637.22,443.8,559.6210000000001,692.4780000000001
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172.163,723.06,238.595,254.544,239.019,164.823,175.5648,266.449,470.932,495.967,469.441,471.099,461.89,1036.435,980.426,1087.0059999999999,1269.222
,,Potash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Rock, Sand and Gravel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,220.92,177.42,187.34,23.25,0.57,-
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Non-Ferrous Refining and Smelting Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.19,36.233,36.27,13.3515,13.29887,13.84381
,,"Primary Ni, Cu, Zn, Pb",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.19,36.233,36.27,13.3515,13.29887,13.84381
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,1955.28,1888.56886,1821.85772,1755.14658,1688.43544,1621.7243,1588.49886,1610.10289612609,3107.84895518061,2658.0304519144956,2415.983418820633,3309.6475534362044,5622.595594473411,5188.225,5622.736,5558.832,6473.618,7677.365000000001,7764.7666500000005,7074.13102,7115.2696,7162.468800000001,6092.3999,7063.4025,7522.507699999999,7306.635400000001,7597.246999999999,7723.356,8145.718299999999,7576.3438,7083.0740000000005
,Downstream Oil and Gas Industry,,1955.28,1888.56886,1821.85772,1755.14658,1688.43544,1621.7243,1588.49886,1555.27342,1522.04798,1488.82254,1455.5971,1357.79855,1260,1346.247,1975.391,1821.775,1660.312,1791.498,1947.803,1657.62,1624.666,1342.25,1636.199,1377.4,1443.6747,1607.17,1747.82,1592.08,1592.08,1310.73,1310.73
,,Petroleum Refining,1955.28,1888.56886,1821.85772,1755.14658,1688.43544,1621.7243,1588.49886,1555.27342,1522.04798,1488.82254,1455.5971,1357.79855,1260,1346.247,1975.391,1821.775,1660.312,1791.498,1947.803,1657.62,1624.666,1342.25,1636.199,1377.4,1443.6747,1607.17,1747.82,1592.08,1592.08,1310.73,1310.73
,,Refined Petroleum Products Bulk Storage and Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Product Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Downstream Oil and Gas Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upstream Oil and Gas Industry,,-,-,-,-,-,-,-,54.8294761260906,1585.80097518061,1169.207911914496,960.3863188206329,1951.8490034362044,4362.595594473411,3841.978,3647.345,3737.057,4813.3060000000005,5885.867,5816.96365,5416.51102,5490.6036,5820.218800000001,4456.2009,5686.0025000000005,6078.833,5699.465400000001,5849.427,6131.276,6553.6383,6265.6138,5772.344
,,Accidents and Equipment Failures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Disposal and Waste Treatment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Heavy Crude Oil Cold Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Light/Medium Crude Oil Production,-,-,-,-,-,-,-,54.8294761260906,1585.80097518061,1169.207911914496,960.3863188206329,1951.8490034362044,4362.595594473411,3841.978,3647.345,3737.057,4813.3060000000005,5885.867,5816.96365,5416.51102,5490.6036,5820.218800000001,4456.2009,5686.0025000000005,6078.833,5699.465400000001,5849.427,6131.276,6553.6383,6265.6138,5772.344
,,Natural Gas Production and Processing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Transmission and Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Oil Sands In-Situ Extraction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Oil Sands Mining, Extraction and Upgrading",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Liquids Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Liquids Transportation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Well Drilling/Servicing/Testing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ELECTRIC POWER GENERATION (UTILITIES),,,2713.23120966774,2119.76424902733,2516.10630542442,2251.84893448053,1159.2894171183,2005.12079244742,1993.68594712627,2907.24087155787,2528.75568991023,2121.888630274351,2195.395483735032,3780.580265552156,5412.829719999999,4608.923000000001,4114.478999999999,3967.4300000000003,2933.5199999999995,3704.13,3385.2729999999997,3530.3420000000015,2931.516,2964.8799999999997,2855.2219999999998,2805.748999999999,4354.216000000001,4315.977000000001,4933.212999999999,4952.078999999998,3488.7667999999985,3778.4996999999994,3056.0555
,Coal,,15.01,12.1927532712001,13.4567707458069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Diesel,,-,-,-,-,-,-,-,763.144,752.87737,752.4184899999999,778.37843,825.13841,859.82972,803.9229999999998,794.7189999999999,1175.5490000000002,1223.067,1215.154,1308.397,1308.167,1283.018,1314.6799999999998,1252.5220000000002,1399.9489999999996,1492.732,1390.6180000000002,1547.2089999999998,1381.966,1413.911,1231.518,1116.8319999999999
,Natural Gas,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,403.67,-,-,-,-,-,-,-,-,-,-,-
,Waste Materials,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Other (Electric Power Generation),,2698.22120966774,2107.57149575613,2502.64953467861,2251.84893448053,1159.2894171183,2005.12079244742,1993.68594712627,2144.09687155787,1775.87831991023,1369.4701402743506,1417.0170537350323,2955.4418555521556,4553,3805,3319.76,2791.881,1710.453,2488.976,2076.876,1818.505,1648.498,1650.2,1602.7,1405.8,2861.484,2925.359,3386.004,3570.113,2074.8558,2546.9817,1939.2235
MANUFACTURING,,,3085.2316179889,2340.73978956274,2300.78444856449,2261.35886142687,2609.3687500136,3081.26214650001,2853.88204395923,2820.35272145545,2435.32191036364,3119.681454984095,2433.010345629767,2554.328789735736,2707.707456634409,2682.01677809075,2562.5532843971355,2517.898837558434,572.2176378341977,528.7939373559686,463.5283933119099,176.11157161682888,144.35975317725857,154.20701285561282,159.5065822805133,160.5138302156617,152.1270909872452,167.15511228585495,205.0342638036528,228.809,221.53574766094613,155.676,156.02499999999998
,Abrasives Manufacturing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bakeries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Biofuel Production,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Chemicals Industry,,24.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Chemical Manufacturing,24.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cleaning Compound Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Fertilizer Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Paint and Varnish Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petrochemical Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Plastics and Synthetic Resins Fabrication,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Chemical Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Electronics,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Food Preparation,,26.0780924907196,25.8084963775082,25.7493563775082,25.6902163775082,27.868926381323,30.7668,27.901,25.0352,22.1694,19.3036,16.4378,19.832349999999998,23.2269,23.018000000000004,14.757000000000001,7.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Glass Manufacturing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Grain Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Grain Processing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Warehousing and Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Metal Fabrication,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Plastics Manufacturing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
