SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,PM2.5 (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,18192.5836119899,17863.8269657348,19081.4593094648,20117.0280097684,21777.7278933199,22346.2103402423,20301.9229875515,21083.3860082497,21156.2300544237,19811.074107865097,15479.033617716537,15325.552530441326,14469.030148676205,13863.15128223892,12365.910139724461,12694.35986538273,13309.469762491339,13556.880469760901,13496.450020498818,13358.631476038032,12041.453664382187,12257.503508942258,13416.755626297696,13021.580601211721,12900.929952433196,12683.562207559367,15323.725012978617,13532.176593552604,14247.493095643087,14820.770571292005,13602.307164519683
ORE AND MINERAL INDUSTRIES,,,1494.60287623424,1932.92972437313,2400.97621691316,2859.82833039983,3318.06557774571,3772.96275708389,3810.11124242292,3825.95682259802,3862.39289279922,3902.5117413572684,3623.2832989452445,2271.2466932871184,1035.3789182037617,819.7342914816867,691.0770457083466,852.8615547769042,1391.7657623220884,1501.898883612938,1126.1654833746284,959.748483889261,1072.1636170361235,834.4847204066607,888.4499376440699,882.4850394057507,730.9292563802713,761.5558387668549,802.1133270246652,718.4534268734836,554.3712421463499,765.9321239535509,926.2477314171034
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,12.7194598740857,11.9094338119714,15.6818653143286,14.3130152597213,10.1125089083571,10.8020564106,8.28824135285714,8.03190399142858,12.9023138585714,12.98775964571428,11.53518126428572,11.53518126428572,14.52578381428572,15.89291640857143,12.04785598714286,15.20935011142858,15.38024168571428,14.61122960142858,16.14925377,17.51638636428572,15.12390432428572,13.244097007142859,10.25349445714286,6.49387982285714,7.26289190714286,11.193398115714281,11.193398115714281,23.1558083157142,12.38963913571428,30.3332544357142,19.22530210714286
,Cement and Concrete Industry,,520.677046854552,469.325857361012,433.794961460551,394.091363228516,361.598391575248,319.455114397961,344.347176938989,339.859179077325,352.324572882028,367.1038369148404,79.3517422878238,77.3125678796983,84.0977464963417,83.4994871799809,82.4353018280693,88.4873167723411,92.1655206363743,97.0636540115094,97.9537296046282,81.0810975249753,95.2467127118378,93.4296233995178,75.7564431869271,72.0561595828936,71.8361644731285,70.1634406511407,64.3849289089509,73.7576185577693,71.1664430106356,69.0759745178367,63.5467243099605
,,Cement Manufacturing,438.05,399.4576,360.8652,322.2728,283.6804,245.088,264.867939576413,268.271706548326,277.135851141733,288.106529001296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
