SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,SOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,68820.8237423237,69891.7713003819,84834.1880551771,102015.779909489,51283.929508207,66936.5425621616,73539.1486857715,75170.1503788735,63461.1789928349,53008.80031175239,54455.62206290315,60090.93886838556,58204.289553806375,54455.23553607224,49405.12020171081,48883.17670609041,44859.81851917979,43822.76448788376,40362.2579950008,28920.23421951018,31687.114580798996,25275.683724374663,28113.291164980725,28431.69476559065,27957.94256571018,19219.360445066704,24587.26580567227,22466.0622872428,18589.12775885592,20690.211060274352,11521.835143597255
ORE AND MINERAL INDUSTRIES,,,7926.01630684,8490.98060372,9057.01717882,9555.6547129406,10180.5236499,10751.33684148,10243.720798,9710.732996,9206.944834,8971.337007999999,8182.421690000001,6707.21044,5382.3389799999995,6121.896884,6077.431154,7748.9409319999995,9582.298920000001,9059.897974000001,7864.742866,4166.3397700000005,7689.021938,5142.24507,6408.228279999999,5646.583544,5143.58449,6838.701214000001,7194.107214000001,7222.799374,5290.322630000001,6439.2736700000005,6752.529450000001
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,2.97630684,2.78676372,3.66949882,3.3491929406,2.3662899,2.52764148,1.939418,1.879436,3.019094,3.039088,2.69919,2.69919,3.39898,3.718884,2.819154,3.558932,3.59892,3.418974,3.778866,4.09877,3.538938,3.09907,2.39928,1.519544,1.69949,2.619214,2.619214,5.418374,2.89913,7.09787,4.49865
,Cement and Concrete Industry,,42.4,40.08952,37.77904,35.46856,33.15808,30.8476,30.8476,30.8476,30.8476,30.8476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,42.4,40.08952,37.77904,35.46856,33.15808,30.8476,30.8476,30.8476,30.8476,30.8476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
