SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,VOC (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,45933.0180313649,45440.4258130683,45773.9266210953,46310.0271435925,45752.083635223,45487.7949901805,44302.8446168665,44145.4477144812,50506.6239131001,53827.294618742475,57310.08236575151,50970.548723778564,65637.88102292884,32614.475412974847,31020.89995327968,31892.35822147514,28626.044374641697,35561.1117902749,34111.70138279476,29493.099047908745,27469.50529510873,23557.63900173516,20739.250401355897,19168.232774048076,18484.347300161546,18007.10314242837,19073.09860994208,21549.40385346929,21469.79463172053,20593.368329911234,19427.865916746152
ORE AND MINERAL INDUSTRIES,,,28.2270536057143,58.2632801314286,89.9845152885714,119.815257478086,148.604775557143,179.19240804,787.396916857143,1396.43151942857,2007.35127057143,2616.5115497142856,3224.395684285714,2197.741384285714,1172.1867542857142,1404.1639605714286,1403.6500991428572,1656.0646074285714,38.379445714285715,39.618673428571434,65.842218,47.81392428571429,53.178488285714295,60.17296714285714,61.973297142857135,59.58385485714287,58.24162714285714,78.93490771428571,179.87190771428573,298.8755877142857,292.2947757142857,326.4317957142857,333.88730714285714
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,4.67705360571429,4.37920013142857,5.76635528857143,5.26301747808571,3.71845555714286,3.97200804,3.04765685714286,2.95339942857143,4.74429057142857,4.77570971428572,4.24158428571429,4.24158428571429,5.34125428571429,5.84396057142857,4.43009914285714,5.59260742857143,5.65544571428572,5.37267342857143,5.938218,6.44092428571429,5.56118828571429,4.86996714285714,3.77029714285714,2.38785485714286,2.67062714285714,4.11590771428572,4.11590771428572,8.51458771428571,4.55577571428571,11.1537957142857,7.06930714285714
,Cement and Concrete Industry,,1.12,1.03812,0.95624,0.87436,0.79248,0.7106,0.7106,0.7106,0.7106,0.7106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,1.12,1.03812,0.95624,0.87436,0.79248,0.7106,0.7106,0.7106,0.7106,0.7106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,9.3,22.94952,36.59904,50.24856,63.89808,77.5475999999999,703.38004,1329.21248,1955.04492,2580.87736,3206.7098,2178.1049,1149.5,1384.6,1385.5,1582.6,-,-,30.83,19.785,24.47,20.954,23.209,20.551,21.022,21.851,138.199,217.804,222.77,253.871,263
,Mineral Products Industry,,0.48,0.4279,0.3758,0.3237,0.2716,0.2195,0.2956,0.3717,0.4478,0.5239,0.6,0.61435,0.6287,0.64,0.64,0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),0.48,0.4279,0.3758,0.3237,0.2716,0.2195,0.2956,0.3717,0.4478,0.5239,0.6,0.61435,0.6287,0.64,0.64,0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,12.65,29.46854,46.28708,63.10562,79.92416,96.7427,79.96302,63.18334,46.40366,29.62398,12.8443,14.78055,16.7168,13.08,13.08,67.232,32.724,34.246,29.074,21.588,23.1473,34.349,34.994,36.645,34.549,52.968,37.557,72.557,64.969,61.407000000000004,63.818
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,12.65,29.46854,46.28708,63.10562,79.92416,96.7427,79.96302,63.18334,46.40366,29.62398,12.8443,14.78055,16.7168,13.08,13.08,13.08,-,-,-,-,-,-,-,-,-,18.46,3.59,38.17,32.646,25.6,23.8
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.152,32.724,34.246,29.074,21.588,23.1473,34.349,34.994,36.645,34.549,34.508,33.967,34.387,32.323,35.807,40.018
,,Potash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Rock, Sand and Gravel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Non-Ferrous Refining and Smelting Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Primary Ni, Cu, Zn, Pb",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,8494.11377507554,8582.65549512733,8709.89217342734,8839.15627342733,8965.61911257733,9131.14174078941,8792.73427949645,8645.44156924615,17251.2002915635,20821.971772528635,25300.14162722949,23492.2826471356,40031.04379274324,8055.813874753316,7146.452503570324,6706.638161845174,7241.056434096827,12213.36088510164,11077.547948624118,8842.332182274933,8202.230303752722,6016.0916188133715,4188.613741269887,4122.209557792094,3415.3887850221195,3505.338026778324,3626.7433049548363,6482.907010413308,5585.629234193187,4378.729920469942,4076.343774994262
,Downstream Oil and Gas Industry,,8494.11377507554,8582.65549512733,8709.89217342734,8839.15627342733,8965.61911257733,9131.14174078941,8792.63025686391,8602.78590543534,8414.48005400677,8227.5427025782,7476.375644114197,4979.220622685626,2483.0856012570543,3423.7031012570537,3318.8106012570533,3078.7276012570537,1836.1979999999999,1432.2680000000003,1347.494,1299.5070000000003,1339.5349,819.8762999999999,707.4954,771.6134,808.2874,956.0556,1053.6188999999997,943.6553000000002,417.7392,382.92574699999994,347.0625
,,Petroleum Refining,5478.17,5592.30546,5706.44092,5820.57638,5934.71184,6048.8473,5924.91002,5800.97274,5677.03546,5553.098180000001,5429.160900000001,2996.4254500000006,563.69,1285.87,1224.923,969.723,765.249,711.444,644.81,575.834,638.3481,338.54,328.122,391.69,339.5261,477.2,569.76,477.24,323.2635,276.26,262.36
