SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,CO (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,308496.777655717,290043.718832773,295894.008613189,298476.738630165,294119.717189675,290068.21427313,280482.071687272,274817.876936909,261385.838962839,259152.9437614494,267689.380213475,237884.89252825646,229356.4712578136,219309.264235009,207243.2943168725,190488.65814619983,177281.3717220738,174702.9275677172,165246.8336428203,148188.81169778615,139777.48535492245,144131.00552120918,135010.90508667397,136250.4917665324,117593.49416721264,133297.36508409903,126355.5914424632,129933.43316210048,133325.25577741535,122440.59820813734,116101.35871818698
ORE AND MINERAL INDUSTRIES,,,193.74270598166,155.839978904115,169.083483178805,151.779109970636,144.358005991756,170.37944019148,167.333244008995,204.010413404078,178.347254083886,156.2900235124576,181.89533785697705,190.6309375925016,206.23781592794472,645.9846803205714,495.84756521989584,590.6805790312944,457.78318668369536,369.95018209026534,526.2245504058136,361.79132754867084,417.11369326295653,852.7672161200994,369.10677326295655,307.89432469152797,285.78133326295654,255.11751897724227,305.1175189772423,275.7002818343851,348.97137326295655,325.64152754867087,353.3587304058136
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,94.9206324077143,60.732614748,73.4093991428571,58.7215039765714,53.713881,69.7864863428571,63.7522971428571,98.1134142857143,76.4342057142857,59.5535571428571,62.724034285714296,60.6675085714286,65.46606857142861,70.2646285714286,67.0084628571429,65.98020000000001,82.60378285714279,48.4997314285714,56.897211428571396,69.0649885714286,78.3193542857143,75.1488771428571,53.7267342857143,33.8469857142857,49.5279942857143,29.39118,29.39118,15.423942857142901,32.7330342857143,15.0811885714286,26.3063914285714
,Cement and Concrete Industry,,6.2,7.388,8.576,9.764,10.952,12.14,13.64854,15.15708,16.66562,18.17416,19.6827,26.02135,32.36,471.7,324.54,420.6,333.37,279.7,397.76,248,294.068,250.5569,254.1847,213.656,176.589,181,231,198.6,210.132,193.32,188.674
,,Cement Manufacturing,6.2,7.388,8.576,9.764,10.952,12.14,13.64854,15.15708,16.66562,18.17416,19.6827,26.02135,32.36,471.7,324.54,420.6,333.37,279.7,397.76,248,294.068,250.5569,254.1847,213.656,176.589,181,231,198.6,210.132,193.32,188.674
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,35.9379,30.9958,30.3096,26.4917,22.8417,31.536,32.923,33.6019,28.0174,21.17,42.02517520166228,41.90682459428897,41.78847398691563,41.670123379542346,41.94917399315244,41.75045066169396,41.80940382655254,41.75045066169396,44.72633897724225,44.72633897724225,44.72633897724225,44.72633897724225,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,35.9379,30.9958,30.3096,26.4917,22.8417,31.536,32.923,33.6019,28.0174,21.17,42.02517520166228,41.90682459428897,41.78847398691563,41.670123379542346,41.94917399315244,41.75045066169396,41.80940382655254,41.75045066169396,44.72633897724225,44.72633897724225,44.72633897724225,44.72633897724225,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264,44.726338977242264
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,17.41,18,18.59,19.18,19.77,20.36,20.36,20.36,20.36,20.36,20.36,20.66,20.96,21.26,21.26,21.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),17.41,18,18.59,19.18,19.77,20.36,20.36,20.36,20.36,20.36,20.36,20.66,20.96,21.26,21.26,21.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,0.0241735739459601,0.0235641561153896,0.0235641561153896,0.0219059940646618,0.0304249917564747,0.0166158486230047,0.0327068661382103,0.0244921183639621,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),0.0241735739459601,0.0235641561153896,0.0235641561153896,0.0219059940646618,0.0304249917564747,0.0166158486230047,0.0327068661382103,0.0244921183639621,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,0.0199283696004909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,39.25,38.7,38.1749198798329,37.6,37.05,36.540338,36.6167,36.753527,36.8501,37.012378,37.0835,41.35532605718354,45.643345,41.07,41.07,41.07,-,-,26.841,-,-,482.3351,16.469,15.665,14.938,-,-,16.95,61.379999999999995,72.51400000000001,93.65199999999999
,,Coal Mining Industry,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.14,4.13,4.12,4.12,4.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
