SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,82882.7751581674,80651.3657729278,82759.1055347035,83771.8156806876,86011.8786404563,86280.9816493425,86220.6044428591,87735.0556655626,87724.3659115603,91534.32700938637,94813.07028662619,94832.23116985145,95840.02710484718,96231.41819857499,94490.0735038002,89864.57754414942,75504.25958811947,70763.70708966386,63129.56888537872,56848.962434389105,55558.7272294391,57431.33306713322,48097.111100847156,46593.23768721299,41731.04803176808,38138.30038282087,36937.073124213784,39944.11302766402,40218.41774155385,39106.6926944727,33829.79038868492
ORE AND MINERAL INDUSTRIES,,,5730.83167785114,5891.25762503475,6081.3922551515,6242.68811052374,6419.81219156661,6597.37765065475,5821.30277950953,5070.59285049385,4284.42357418355,3501.334459612117,2730.9443913264,1924.7080512311688,1122.8132654216429,1269.5352867549757,1141.8440484692615,1274.4318153264044,721.7067291428571,650.6914965714286,827.1319005714287,575.2401594285714,671.5928921930373,2144.4889233358945,578.5681661930373,468.44895876446583,397.50336419303727,382.64504847875156,483.64504847875156,902.3361316216086,601.6565561930372,494.60205390732295,549.5853490501802
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,60.1164005248857,38.4639893404,46.4926194571429,37.1902858518286,34.0187913,44.1981080171429,40.3764548571429,62.1384957142857,48.4083302857143,37.717252857142896,39.725221714285695,38.4227554285714,41.4618434285714,44.5009314285714,42.4386931428571,41.787459999999996,52.315729142857094,30.7164965714286,36.0349005714286,43.74115942857139,49.6022577142857,47.5942888571429,34.0269317142857,21.4364242857143,31.3677297142857,18.614414,18.614414,9.76849714285714,20.7309217142857,9.55141942857143,16.6607145714286
,Cement and Concrete Industry,,5184.23,5364.722,5545.214,5725.706,5906.198,6086.69,5313.39314285714,4540.09628571429,3766.79942857143,2993.50257142857,2220.20571428571,1446.90885714286,673.612,855.615,732.013,855.615,633.611,587,758.522,498.424,590.96,503.5202,510.8106,429.3639,354.874,364,465,888.4,577.905,481.87,501.161
,,Cement Manufacturing,5184.23,5364.722,5545.214,5725.706,5906.198,6086.69,5313.39314285714,4540.09628571429,3766.79942857143,2993.50257142857,2220.20571428571,1446.90885714286,673.612,855.615,732.013,855.615,633.611,587,758.522,498.424,590.96,503.5202,510.8106,429.3639,354.874,364,465,888.4,577.905,481.87,501.161
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,1.09,1.028,0.966,0.904,0.842,0.78,0.78,0.78,0.78,0.78,0.78,0.832,0.884,0.59,0.663,0.7,0.875,0.875,0.875,0.875,0.03063447875153579,0.03063447875153579,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,1.09,1.028,0.966,0.904,0.842,0.78,0.78,0.78,0.78,0.78,0.78,0.832,0.884,0.59,0.663,0.7,0.875,0.875,0.875,0.875,0.03063447875153579,0.03063447875153579,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802,0.030634478751535802
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,152.29,160.472,168.654,176.836,185.018,193.2,193.2,193.2,193.2,193.2,193.2,177.133333333333,161.066666666667,145,145,145,1.105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),152.29,160.472,168.654,176.836,185.018,193.2,193.2,193.2,193.2,193.2,193.2,177.133333333333,161.066666666667,145,145,145,1.105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
