SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,SOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,203152.189724446,201247.821056186,201242.072808068,197334.742093504,201611.558680185,186974.857933717,201050.946129221,194490.762124356,189151.14250043,189050.82530727275,190312.9682252085,184152.1414867565,177321.4692197094,184118.2910078735,183568.08558762664,150102.99061073846,124488.07381961169,126901.0209632231,124540.47945011678,116011.84717316827,75432.19419580903,77317.33287192536,75346.10716705813,77234.4871733884,71781.13997094447,63384.19818908735,64919.06627873924,66632.27048193001,64729.47057985132,52819.356216597065,53271.943007259186
ORE AND MINERAL INDUSTRIES,,,4468.9110430555,3997.69519949995,3554.61583013686,3070.40925245741,2613.20444682088,2140.05631234122,2169.10527285242,2220.86385202836,2239.2503107134,2260.803421570545,2294.408005429718,2052.254710462106,1814.1872702130208,2113.369018883188,1634.9743530991168,2138.904395384831,1072.8152294521647,822.549838857143,1063.6863268571428,772.4009931428571,866.9027154126637,763.2087291269493,710.9328434126636,527.9872942698064,443.3240994126636,427.63581084123507,544.9811028412352,629.519102841235,508.26792341266366,400.66510284123507,448.42510284123506
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,56.9523794446286,36.4395688488,44.0456394857143,35.2329023859429,32.2283286,41.8718918057143,38.2513782857143,58.8680485714286,45.8605234285714,35.7321342857143,37.6344205714286,36.4005051428571,39.2796411428571,42.158777142857105,40.2050777142857,39.58812,49.5622697142857,29.0998388571429,34.1383268571429,41.4389931428571,46.991612571428604,45.0893262857143,32.2360405714286,20.308191428571398,29.7167965714286,17.634708,20.28,18.01,19.6398205714286,12.48,20.58
,Cement and Concrete Industry,,2977.53,2553.22396,2128.91792,1704.61188,1280.30584,855.9998,899.82782,943.65584,987.48386,1031.31188,1075.1399,915.09545,755.051,1238.36,778.668,1238.36,880.207,659,853.098,562.312,666.71,568.0621,576.2869,484.4002,400.3622,410,524.7,611,488.263,385.034,422.644
,,Cement Manufacturing,2977.53,2553.22396,2128.91792,1704.61188,1280.30584,855.9998,899.82782,943.65584,987.48386,1031.31188,1075.1399,915.09545,755.051,1238.36,778.668,1238.36,880.207,659,853.098,562.312,666.71,568.0621,576.2869,484.4002,400.3622,410,524.7,611,488.263,385.034,422.644
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,2.05,1.96,1.87,1.78,1.69,1.6,1.6,1.6,1.6,1.6,1.6,1.7031,1.8062,1.1439663555,0.235,0.25,0.25,0.25,0.25,0.25,0.0011028412350552884,0.0011028412350552884,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,2.05,1.96,1.87,1.78,1.69,1.6,1.6,1.6,1.6,1.6,1.6,1.7031,1.8062,1.1439663555,0.235,0.25,0.25,0.25,0.25,0.25,0.0011028412350552884,0.0011028412350552884,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888,0.0011028412350552888
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,743.79,757.294,770.798,784.302,797.806,811.31,811.31,811.31,811.31,811.31,811.31,734.229863316667,657.149726633333,580.06958995,580.06958995,580.06958995,10.3748,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),743.79,757.294,770.798,784.302,797.806,811.31,811.31,811.31,811.31,811.31,811.31,734.229863316667,657.149726633333,580.06958995,580.06958995,580.06958995,10.3748,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,1.52293515859548,1.48454183526955,1.48454183526955,1.38007762607369,1.9167744806579,1.0467984632493,2.06053256670725,1.54300345692961,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),1.52293515859548,1.48454183526955,1.48454183526955,1.38007762607369,1.9167744806579,1.0467984632493,2.06053256670725,1.54300345692961,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,1.25548728483093,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,687.065728452274,647.293128815881,607.499728815881,543.102392445392,499.257503740223,428.227822072255,416.055542,403.88696,391.74044,379.59392,367.46819757345855,363.57030471775096,359.645215152,250.38119815,234.54119815,279.38119815,132.4211597378791,134.2,176.2,168.4,153.2,150.0562,102.4088,23.2778,13.244,-,-,0.508,0.364,3.15,5.2
,,Coal Mining Industry,131.813728815881,131.813728815881,131.813728815881,107.163064061712,103.115503740223,71.81,71.81,71.81,71.81,71.81,71.81,71.662307576,71.514615152,71.366922728,71.366922728,71.366922728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Potash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Rock, Sand and Gravel",0.0219996363938565,0.0214,-,0.0253283836803286,-,0.0478220722548047,0.022062,-,-,-,0.0207975734585375,0.0239971417509541,-,-,-,-,0.0211597378790923,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),555.23,515.458,475.686,435.914,396.142,356.37,344.22348,332.07696,319.93044,307.78391999999997,295.6374,291.88399999999996,288.1306,179.014275422,163.174275422,208.014275422,132.4,134.2,176.2,168.4,153.2,150.0562,102.4088,23.2778,13.244,-,-,0.508,0.364,3.15,5.2
,Non-Ferrous Refining and Smelting Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Primary Ni, Cu, Zn, Pb",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,8768.81697041697,9258.27479291878,9741.27594083394,10231.9077041697,10713.1479408339,11197.91,10711.774,10225.638,9739.502,9256.887822501807,8772.51273375271,8493.10531914782,8216.045786210801,9408.669605358622,9783.439720336764,8620.492716982777,5428.781358491388,4594.852000000001,4871.696716982778,4254.585716982778,3074.6906792456944,4042.4,2656.1,3602.6059999999998,6294.344,1088.58,1062.514,523.912,98.1731,48.682,-
,Downstream Oil and Gas Industry,,8768.23,9254.166,9740.102,10226.038,10711.974,11197.91,10711.774,10225.638,9739.502,9253.366,8767.23,8489.5275,8211.825,9400.871,9777.933,8614.93,5426,4573.694,4848.147,4230.676,3073.3,4042.4,2656.1,1590,-,-,-,-,-,-,-
,,Petroleum Refining,8768.23,9254.166,9740.102,10226.038,10711.974,11197.91,10711.774,10225.638,9739.502,9253.366,8767.23,8489.5275,8211.825,9400.871,9777.933,8614.93,5426,4573.694,4848.147,4230.676,3073.3,4042.4,2656.1,1590,-,-,-,-,-,-,-
,,Refined Petroleum Products Bulk Storage and Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Product Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Downstream Oil and Gas Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upstream Oil and Gas Industry,,0.586970416967782,4.10879291877448,1.17394083393556,5.86970416967782,1.17394083393556,-,-,-,-,3.521822501806693,5.2827337527100395,3.5778191478201724,4.220786210801434,7.798605358621606,5.506720336763957,5.562716982777435,2.7813584913887177,21.158,23.549716982777433,23.909716982777436,1.3906792456943589,-,-,2012.606,6294.344,1088.58,1062.514,523.912,98.1731,48.682,-
,,Accidents and Equipment Failures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Disposal and Waste Treatment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Heavy Crude Oil Cold Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Light/Medium Crude Oil Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Production and Processing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.158,17.987,18.347,-,-,-,2012.606,6294.344,1088.58,1062.514,523.912,98.1731,48.682,-
,,Natural Gas Transmission and Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Oil Sands In-Situ Extraction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Oil Sands Mining, Extraction and Upgrading",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Liquids Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Liquids Transportation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Well Drilling/Servicing/Testing,0.586970416967782,4.10879291877448,1.17394083393556,5.86970416967782,1.17394083393556,-,-,-,-,3.521822501806693,5.2827337527100395,3.5778191478201724,4.220786210801434,7.798605358621606,5.506720336763957,5.562716982777435,2.7813584913887177,-,5.562716982777435,5.562716982777435,1.3906792456943589,-,-,-,-,-,-,-,-,-,-
ELECTRIC POWER GENERATION (UTILITIES),,,145432.245131574,144389.90626837,143283.708286596,142088.100132276,141300.159675589,139296.580658497,140916.782081909,141787.081362978,141522.833044351,141508.00341021694,142369.68741021695,139004.42466021696,135639.16191021696,141265.26191021694,139995.84287021693,107710.68287021694,106639.89096,108563.59096,107484.63,100872.85,64052.772,64856.91,66299.07,67853,60986.67,60226.67,61961.98,63963.82,62671.04,50931.44,51674.76
,Coal,,120609.283269357,122154.229167251,123638.451598323,125037.654132976,126824.506802271,127455.411982099,127967.935703371,127784.928340342,126549.632848436,125545.67213779653,125354.67413779652,129439.78913779653,133524.90413779652,128152.66413779651,125103.06413779651,93904.66413779651,103026,105134,105324,98658,61822,64628,66235,67049,59456,58723,60768,63573,61733,50345.1,51330
,Diesel,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Natural Gas,,24470,21867.65,19265.3,16662.95,14060.6,11458.25,12510.932,13563.614,14616.296,15668.978,16721.66,9313.28,1904.9,12900,14670.00096,13580.00096,3590.00096,3410.00096,2148,2205,2205,182.3,25,757,1443,1443,1128,321,873,535,291
,Waste Materials,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Other (Electric Power Generation),,352.961862217152,368.02710111906,379.956688273183,387.495999299365,415.052873317435,382.918676398244,437.914378538293,438.539022635941,356.904195914998,293.35327242042234,293.35327242042234,251.35552242042232,209.35777242042232,212.59777242042233,222.7777724204223,226.01777242042232,23.89,19.59,12.63,9.85,25.772,46.61,39.07,47,87.67,60.67,65.98,69.82,65.03999999999999,51.339999999999996,53.76
MANUFACTURING,,,30795.927165619,29767.3426329355,29219.5350441164,27365.0766332732,33531.0582108721,22100.0466545771,34583.8107617914,28146.346939386,24550.8417539236,24508.91505276103,24466.451024673665,21968.036830889076,21289.512092184632,19601.77334631445,20179.315496386764,19261.527414759927,2029.9767513683744,2442.929621237566,2591.4910945764314,1859.2512462448278,1448.2745092338787,1332.6672120547398,1026.185729967542,1174.4093291945057,717.5009532666659,372.396496450757,242.25338886092524,305.70198181644554,163.66130616625955,140.04089264870845,33.139590657046
,Abrasives Manufacturing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bakeries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Biofuel Production,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Chemicals Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Chemical Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cleaning Compound Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Fertilizer Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Paint and Varnish Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petrochemical Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Plastics and Synthetic Resins Fabrication,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Chemical Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
