SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,CO (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,3269271.42988712,3288745.97140087,3289638.04564869,3326173.15772591,3239036.02112989,3253013.43394121,3172824.39225029,3172562.73411307,3091689.81791663,3068227.6262554536,3104570.9031099486,2742620.8581315875,2628007.797295253,2407115.545967362,2339438.5321228066,2082552.8339548428,1944532.9436192862,1905567.3748188834,1841020.0162951432,1735389.2195626274,1692040.863012221,1516717.5429271786,1333303.2180670707,1347308.1142919557,1316821.8681548387,1301904.2887346398,1262838.610830101,1260940.0232017273,1282041.265185947,1280203.8205470282,1128215.7986825088
ORE AND MINERAL INDUSTRIES,,,101171.383658672,104723.029964757,94586.2568850095,98249.5020578647,87186.4534689117,103564.07319719,106505.305501921,110514.283083415,95156.0895767934,72061.26055968933,83570.08897016308,87508.26835539965,94857.2136408983,91060.85947141965,97638.57831549537,100040.13369832118,94039.202676039,90427.02922732118,81847.49979450076,68069.79977057884,69170.93053274741,69176.80760828455,77427.89051285597,65619.4671414274,64766.889331713115,61714.26035171311,63315.9779994274,63877.33921457026,66515.54022999888,66663.34207471312,63381.19684985596
,Aluminium Industry,,-,-,-,-,-,-,-,0.017099,0.017099,0.017099,0.017099,0.885070121942437,1.75304124388487,0.0186,-,-,-,63,68.6,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,0.017099,0.017099,0.017099,0.017099,0.885070121942437,1.75304124388487,0.0186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,68.6,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,1268.60825645691,1181.636908,1161.634395,1177.572154,1199.334884,1203.290241,1226.174213,1673.39497371429,1570.568688,1568.51216228571,1566.249984,1463.0123931428595,1573.4478240000005,1489.5415748571397,1713.08592,1747.6355519999997,1710.206784,1659.821904,1697.2506720000001,1300.95816685714,1698.89589257143,942.9170399999999,819.319844571428,1009.54847314286,664.874763428571,722.4574834285711,629.5025211428571,651.507346285714,832.6872617142859,702.303531428571,838.034228571428
,Cement and Concrete Industry,,9142.280973,8795.810531,8875.600169,8954.160548,9522.77855400001,10310.744826,10390.620529,10805.427097,10962.706741,11035.761497000001,11114.153718,12599.275297006765,14008.92042101353,14689.117000000002,13515.615000000002,14969.069,12408.215,9621.646000000002,7650.58,5390.593999999999,6605.393000000001,7264.792399999999,9152.183200000001,5891.104100000001,4468.518900000001,4486.8342999999995,5068.651400000001,6259.2335,8235.785,9520.9986,8976.876599999998
,,Cement Manufacturing,8628.460955,8237.964255,8277.348077,8367.925969,8969.09695,9687.821383,9773.241741,10021.850088,10118.944955,10203.470360000001,10276.273852999999,11811.290926500002,13106.465999999999,13679.753999999999,12347.131000000001,13941.536,11288.625,8802.613000000001,7004.751,4946.67,6002.9601,6605.2664,8502.3902,5383.802500000001,3908.5433000000003,3949.7207,4442.893400000001,5578.0919,7516.664,8846.1453,8391.600699999999
