SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,602616.544802302,592159.295434953,606058.526112326,595369.984114078,599959.493679771,619114.725280765,634392.409720649,673575.304626051,702958.764529173,726704.6936285967,741406.0288508333,688142.3286549269,657254.9588559697,599712.784925121,562197.282154124,538745.0453593504,484232.3455866296,464193.6635173786,434339.55164288444,383652.5273492953,384467.939911805,358342.29367760726,334876.91527446156,317571.1230044511,291203.3608689679,280828.04631028685,264457.10329242656,269843.2429760107,277779.95817863184,271466.7589484966,229260.22290267915
ORE AND MINERAL INDUSTRIES,,,43978.920863915,42494.4772282461,39570.704345946,41028.9540995349,41545.1375830357,41675.6904574119,41232.8741881984,43925.920363703,43593.0189287442,44057.23543853478,44314.02804452479,42877.2090672571,42725.512584866716,42836.43157409883,45781.34076831306,44483.81004824704,35913.109032114604,37427.69137774702,35927.808555606774,27719.980656790423,29919.497096981755,29936.723680213003,31119.187006070137,26695.994503927282,27358.38415335586,28976.61132835586,27581.463791816434,27916.85086264158,28790.44999678442,27026.723433355855,22684.29756407014
,Aluminium Industry,,-,-,-,-,-,-,-,0.106339,0.106339,0.106339,0.106339,4.17983765457649,8.25333630915298,5.5969,-,-,-,75,81.6,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,0.106339,0.106339,0.106339,0.106339,4.17983765457649,8.25333630915298,5.5969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,81.6,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,237.864048085671,184.556645819743,166.833324697371,196.083370907357,171.696894902743,169.075719205714,212.272013571429,313.761557571429,294.481629,294.096030428571,293.671872,274.31482371428586,295.02146699999975,279.289045285714,321.20361,327.681666,320.663772,311.21660699999995,318.234501,243.92965628571397,318.542979857143,176.796945,153.622470857143,189.290338714286,124.66401814285699,135.460778142857,118.03172271428599,122.157627428571,156.128861571429,131.681912142857,157.131417857143
,Cement and Concrete Industry,,19430.981893,14929.917442,14224.004305,15600.330881,17513.577132,19256.969198,17981.868349,18732.724208,20279.158308,20455.56851,22765.060744000002,24567.7366814912,26668.642746982412,28176.6185,31679.287000000008,30842.579,22031.268,23782.645999999997,19793.453999999998,16323.676,16725.682999999997,14856.6218,15498.0722,13943.137300000002,14073.3707,16362.482999999998,15730.744099999998,16047.5687,16376.729099999997,15172.8103,12264.029
,,Cement Manufacturing,18469.135353,13900.775353,13111.332475,14484.326876,16451.681998,17993.877955,16731.988135,17265.715502,18643.39997,18842.409969999997,21143,23077.9865,25012.973,26556.135000000002,29804.267000000003,29107.887,17655.923,18352.028,15808.045,14109.099,14011.191899999998,11849.688000000002,12894.679,12074.381500000001,12089.6989,14079.2722,13459.818099999999,13350.7207,13640.933099999998,12783.439999999999,10303.936399999999
,,Concrete Batching and Products,242.013716,213.341433,221.694037,195.069869,175.291609,269.421281,248.886493,301.678036,376.928988,333.643217,335.210213,28.332415991208677,19.684746982417366,23.7894,4.566,38.983,2.74,84.74,118.551,61.121,59.4001,81.41980000000001,66.31519999999999,11.2528,21.0578,26.611800000000002,29.68,0.946,0.941,0.282,0.679
,,Gypsum Product Manufacturing,89.692054,87.528573,83.95956,87.196577,91.715481,95.393273,90.467581,83.409493,83.69394,86.467895,83.98594,138.78097,193.57600000000002,187.4481,174.91,184.155,176.566,131.758,88.94999999999999,66.764,65.894,64.306,66.676,61.894999999999996,67.09700000000001,70.10300000000001,73.435,85.628,92.521,89.35130000000001,87.4556
,,Lime Manufacturing,630.14077,728.272083,807.018233,833.737559,794.888044,898.276689,910.52614,1081.921177,1175.13541,1193.0474279999999,1202.864591,1322.6367955,1442.409,1409.2459999999999,1695.5439999999999,1511.554,4196.039,5214.120000000001,3777.9080000000004,2086.692,2589.197,2861.208,2470.402,1795.6080000000002,1895.5169999999998,2186.496,2167.8109999999997,2610.2740000000003,2642.334,2299.737,1871.958
,Foundries,,183.739766,170.325971,171.361899,184.64564,181.283677,178.993588,187.927612,191.334154,191.320645,221.93898899999996,201.08998499999996,130.12407750128904,92.45315700257802,103.0736,30.59115831305644,46.32177074702875,44.87521119773629,30.46577074702875,32.81051960676569,31.972211120148817,31.345017124614458,30.53343521300036,30.40343521300036,29.89053521300036,29.88543521300036,30.31243521300036,30.28543521300036,30.22743521300036,30.35343521300036,30.14943521300036,30.21643521300036
,,Die Casting,25.116217,23.812228,23.750125,28.772075,27.311902,32.381071,35.37768,38.82267,43.157442,48.42056099999999,48.298772,34.20433560694454,25.589899213889073,23.9801,0.86,16.285,15.042,0.63,0.569,0.536,0.694,0.648,0.518,0.0051,-,0.427,0.4,0.342,0.468,0.264,0.331
,,Ferrous Foundries,117.436995,109.75137,113.196174,114.752871,113.474545,114.208395,117.42468,114.622436,109.053907,134.280586,106.629705,77.01519391403488,48.30236282806979,60.3752,29.53315831305644,29.83577074702875,29.581211197736287,29.83577074702875,32.241519606765685,31.436211120148815,30.65101712461446,29.88543521300036,29.88543521300036,29.88543521300036,29.88543521300036,29.88543521300036,29.88543521300036,29.88543521300036,29.88543521300036,29.88543521300036,29.88543521300036
,,Non-Ferrous Foundries,41.186554,36.762373,34.4156,41.120694,40.49723,32.404122,35.125252,37.889048,39.109296,39.237842,46.161508,18.904547980309587,18.56089496061916,18.718300000000003,0.198,0.201,0.252,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,16979.819319,17549.042195,16928.097972,17475.338662,17431.399205,15070.472268,15655.447894,16496.732748,14476.45763,14922.841303,12872.375498999998,11927.39933150861,11743.316488017217,11163.799,10863.035999999998,10297.734999999999,10407.694999999998,10188.085000000001,10181.366000000002,6798.741000000001,8335.4218,8967.029600000002,9049.100299999998,8168.4994,8351.057,7884.3497,7855.5099,7930.200100000001,8143.6746,7832.579384000001,6213.207874999999
,,Primary (Blast Furnace and DRI),15317.34047,15914.754055,15209.949436,15606.84671,15526.084678,13335.62028,13865.39279,14620.54916,12594.922,12972.642,10922.032,11030.0945,11138.157,10459.6548,10246.952,9772.006000000001,9808.074999999999,9651.032,9650.488,6506.93,7906.296300000001,8521.4494,8613.6922,7748.394,8029.4866,7635.7047,7634.7829,7604.775299999999,7778.5648,7524.5977,5913.915660999999
,,Secondary (Electric Arc Furnaces),1654.044762,1626.877627,1711.130267,1861.12876,1897.139201,1726.191863,1780.511146,1865.628136,1870.682514,1939.3461869999999,1939.4903829999998,860.9422735086092,543.2874880172185,704.1442,564.87,461.23900000000003,532.0350000000001,537.053,530.878,291.81100000000004,429.1255,445.5802,435.40809999999993,420.1054,321.5704,248.64499999999998,220.72699999999998,325.4248,365.1098,307.98168400000003,299.292214
,,Steel Recycling,8.434087,7.410513,7.018269,7.363192,8.175326,8.660125,9.543958,10.555452,10.853116,10.853116,10.853116,36.362558,61.872,-,51.214,64.49,67.585,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,907.78326,483.71748,388.942349,388.72741,405.953121,420.130156,417.680902,443.179654,451.711855,449.79874700000005,451.46636000000007,508.1907725861153,672.0613801722308,629.9389,565.521,429.297,361.265,299.65000000000003,239.41899999999998,247.231,198.87489999999997,158.898,203.90300000000002,244.48399999999998,258.552,206.856,262.402,241.51,203.93900000000002,170.772,184.63
,,Brick Products,212.968547,221.568842,185.750369,182.451053,190.117967,197.24539,196.241455,203.867948,211.086575,212.6435,213.496815,171.44340749999998,129.39,198.233,180.018,168.027,145.837,181.32600000000002,145.38600000000002,123.21600000000001,130.54899999999998,90.678,113.203,105.484,91.05199999999999,100.21600000000001,117.402,108.41,112.239,75.372,93.63
,,Clay Products,54.454675,54.4475,27.394919,24.266265,24.492281,40.39995,37.2684,45.940804,44.766438,40.296701999999996,39.874514,41.42887327044566,42.98323254089132,43.7777,21.71,22.279999999999998,17.604,10.524,0.53,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),640.360038,207.701138,175.797061,182.010092,191.342873,182.484816,184.171047,193.370902,195.858842,196.858545,198.095031,295.3184918156697,499.68814763133946,387.9282,363.793,238.99,197.824,107.8,93.503,124.015,68.32589999999999,68.22,90.7,139,167.5,106.64,145,133.1,91.7,95.4,91
