SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,VOC (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,852779.352665704,837014.542368464,839444.093446961,854684.670648194,848712.104527491,827717.179727784,815217.142515408,805333.822897765,788659.769422276,790496.7264682065,763149.1799363827,653417.9671848541,636176.5831072411,605578.343667086,594072.4707137287,586758.6632459441,543175.9435433378,529903.4665700393,518308.6353717286,466604.76251676463,462475.21323302935,408032.8642833326,382503.9882723552,379715.78912895307,372597.9023810932,354646.5593622828,338867.57367692445,336784.04285295756,352142.71332500054,347154.5776211452,308194.95906583115
ORE AND MINERAL INDUSTRIES,,,8256.28462535816,7837.76905199598,7361.80039857833,8658.85447638708,8301.33551514837,7265.39550722556,7473.25198128388,6884.52725130112,6312.81168280802,5858.296521575209,5513.322126392399,3901.8744815648415,2913.1443518904543,4273.5001679685665,4054.0710530026486,3328.3718129681392,3451.516863560629,2765.4004278252546,2526.849299571532,1806.597652016177,2312.3267466812576,1902.5516997619623,1709.2521453146214,1705.832292376741,1536.389638218195,1542.2189870586194,1444.522625359077,1423.4101401225257,1803.9607434102911,1785.0453446353295,1556.9364581877603
,Aluminium Industry,,-,-,-,-,-,-,-,0.007738,0.007738,0.007738,0.007738,0.30500949649823,0.60228099299646,0.0084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,0.007738,0.007738,0.007738,0.007738,0.30500949649823,0.60228099299646,0.0084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,739.490029969393,519.916855861004,469.9882642764,552.388938561185,483.689489275394,507.400947605509,654.783263380501,1003.9890024805,935.434892122597,934.498250235439,932.658435459564,864.765099463465,924.062272843088,903.0828519685699,1101.853053002649,1122.390246306904,1105.245370560628,1072.683427825255,1094.6982995715312,840.7626520161771,1097.9355466812578,608.7924997619621,529.4970606437635,652.435007705883,429.6847382181946,466.89838705861956,406.82492535907693,421.0458554516677,538.1359434102912,453.8736099644716,541.5914965169023
,Cement and Concrete Industry,,189.200419,164.265024,156.868834,165.851782,168.605481,209.690423,225.205917,282.328498,236.149387,245.36292100000006,228.507302,215.00174809147978,262.44150418295965,316.0555,350.695,268.875,262.92199999999997,224.42899999999997,169.851,139.61200000000002,166.6443,152.702,164.7822,165.7888,156.85330000000002,175.3451,190.9733,192.9083,234.57580000000002,356.55936,240.19415
,,Cement Manufacturing,157.351675,132.34,124.692577,132.866744,135.57,173.57,189.75,245.3,197.9,205.37,190.74999999999997,180.8848555,227.49099999999999,257.637,277.01,202.956,199.628,169.956,134.764,131.216,155.569,152.562,164.7798,165.7595,156.82920000000001,175.3236,190.9523,179.6251,185.7673,327.58860000000004,216.7099
,,Concrete Batching and Products,28.229331,27.9773,27.794518,28.497233,28.336242,31.232743,30.849383,32.392054,33.582919,35.137456,32.928834,24.58565859147981,20.716504182959618,11.871699999999999,8.703999999999999,8.972,8.054,10.647000000000002,5.362,0.126,0.1183,0.14,0.0024,0.0293,0.0241,0.0215,0.021,13.283199999999999,48.8085,28.97076,23.484250000000003
,,Gypsum Product Manufacturing,3.332684,3.61165,3.464376,3.597942,3.78441,3.936168,3.721159,3.695702,3.707099,3.896096,3.869099,1.9345495,-,41.1648,64.981,56.947,55.239999999999995,43.826,29.725,8.27,10.957,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,0.286729,0.336074,0.917363,0.889863,0.914829,0.951512,0.885375,0.940742,0.959369,0.959369,0.959369,7.5966845,14.234,5.382000000000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,1287.593641,1257.569912,1231.587775,2145.52543,2205.47751,1259.351311,1474.622261,651.576098,691.852691,791.2707770000002,768.051412,575.8206341926096,461.9202383852192,491.6881999999999,349.18499999999995,315.067,271.74,154.833,92.28399999999999,81.27,35.4888,31.932,8.606484670857961,6.833484670857961,12.0478,11.6328,11.2651,6.807484670857961,18.7791,6.807484670857961,6.807484670857961
,,Die Casting,33.203602,33.03756,31.828237,40.624587,36.701314,48.003204,53.442352,75.540937,89.126968,85.76778099999999,92.843092,78.92141255240703,64.99973310481404,58.9705,24.660000000000004,14.646,3.56,0.031,0.031,0.029,0.0379,0.035,0.028,0.026,-,-,-,-,-,-,-
