SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,CO (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,54865.8351885868,52194.0685480893,52456.6198242899,50111.0734702766,50962.3800059063,49883.8397816712,49569.0641451638,49679.4001703999,48142.9210503905,48262.504101207516,46872.90274687031,42474.63995232412,42152.903765586554,38079.09840960889,40220.34961115803,37765.115353212765,36807.328776917275,38472.49349130616,32911.791378773676,30785.89202185001,26999.77875008197,26286.1374500837,23586.79229129871,20177.20845561633,18399.75224441657,16783.15187733601,18865.77602648361,21390.423187010885,20655.81457330117,21067.999975968654,20300.249504668816
ORE AND MINERAL INDUSTRIES,,,15.23736006,18.3843970228286,16.9525086342857,15.2508511628571,15.6919244485714,12.0247582371429,10.5037307142857,15.9085791428571,14.8912697142857,16.3604108571429,17.4376242857143,12.6304954285714,15.0811885714286,16.1180202857143,4.24158428571429,7.63485171428572,2.639208,-,-,-,-,-,-,-,-,-,-,1.22534657142857,-,5.56118828571429,2.82772285714286
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,13.54573506,16.9257970228286,15.5260836342857,14.0038261628571,14.6164994485714,10.5408082371429,8.95445571428571,14.3271291428571,13.5730697142857,15.3639608571429,17.4376242857143,12.6304954285714,15.0811885714286,16.1180202857143,4.24158428571429,7.63485171428572,2.639208,-,-,-,-,-,-,-,-,-,-,1.22534657142857,-,5.56118828571429,2.82772285714286
,Cement and Concrete Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,1.691625,1.4586,1.426425,1.247025,1.075425,1.48395,1.549275,1.58145,1.3182,0.9964500000000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,1.691625,1.4586,1.426425,1.247025,1.075425,1.48395,1.549275,1.58145,1.3182,0.9964500000000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
