SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,6715.25744306719,6623.13257000985,6335.02586096481,6435.14439302231,6958.9173038114,7024.50600923459,7377.44056025994,7841.30408887859,8269.68846170969,8644.88221507711,8752.208297907722,8210.43773697808,7785.170208508381,7422.541951179388,7542.337785966773,6874.550380876918,6142.776766744547,5921.656395786297,5147.722823657579,5419.177703948296,5126.194625062763,5586.996182652825,4893.479083291487,4244.005242671969,4112.743641726347,4045.9379067417717,3966.987301879808,4061.845976818248,4163.778412021345,4182.269508062997,3301.916250755691
ORE AND MINERAL INDUSTRIES,,,5.76402548,7.1956011612,6.60145336,5.95380716,6.21196916,4.48707804,3.81475,6.094396,5.771792,6.528264,7.39778,5.358392,6.39808,6.837948,1.79946,3.239028,1.119664,-,-,-,-,-,-,-,-,-,-,0.519844,-,2.359292,1.19964
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,5.74667548,7.1806411612,6.58682336,5.94101716,6.20093916,4.47185804,3.79886,6.078176,5.758272,6.518044,7.39778,5.358392,6.39808,6.837948,1.79946,3.239028,1.119664,-,-,-,-,-,-,-,-,-,-,0.519844,-,2.359292,1.19964
,Cement and Concrete Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
