SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,PM2.5 (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,4697.42485205368,4452.24061844169,4706.86194263024,4479.33875466472,5092.81817228184,4900.03352106827,5090.56374785775,5125.84238144017,4027.58575295147,3948.5383925911106,3828.484760954547,3681.228077016667,3567.156263033168,3296.579553754469,3697.204867405855,3905.534210985317,4094.2398998350163,4886.495849473482,4263.10454574369,4348.9952713065995,3841.874591669554,3724.5816353278,3501.953964010375,3303.6803358430093,3029.5989252129298,2868.486859793383,3136.2221737136583,3448.0562412682034,3543.8706868776185,3572.794703501452,3472.11866174648
ORE AND MINERAL INDUSTRIES,,,38.1384607192673,37.2262340511863,33.2831627397699,31.0103910853087,33.1169843843859,29.4409349281414,29.5604482477887,33.4876020274676,32.7140606887776,35.77690254090282,37.608511616529285,32.52418198047586,38.95555706087544,40.24207870858508,29.600096853300776,31.37407941343342,27.94346504321,27.0479345209829,27.341627824161897,24.10603301623781,27.64015486050447,26.88552253141793,26.651704056085208,29.9715971746309,34.5850599165171,28.25389534263825,18.592585729546393,22.582959359219558,29.14558324615525,26.74540035696658,23.078023308015318
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,12.2794140703,15.3434914526641,14.0746300581714,12.6946805958143,13.2500782122429,9.55540237618572,8.11734977857142,12.9877596457143,12.3041933485714,13.92766330428572,15.807470621428582,11.449735477142859,13.671325942857141,14.61122960142858,3.84506042142858,6.921108758571419,2.39248204,-,-,-,-,-,-,-,-,-,-,1.110795232857142,-,5.04130144142858,2.56337361428572
,Cement and Concrete Industry,,18.6620966489673,15.7142225985222,16.4472226815985,16.3674804894944,18.098796172143,17.6173925519557,19.2751684692173,17.6847023817533,18.9146273402062,20.1860992366171,20.5110409951007,20.239446503333,22.1592311180183,22.1008491071565,21.9350364318722,23.752970654862,24.88598300321,26.2579345209829,26.5666278241619,21.9496736607502,25.8464467901563,25.6198752254095,20.8020950779557,19.6975611707097,19.6242747329429,19.2037838061637,17.8732979053156,21.0001218105962,20.7714584292173,20.774378915538,19.6636696937296
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,18.6620966489673,15.7142225985222,16.4472226815985,16.3674804894944,18.098796172143,17.6173925519557,19.2751684692173,17.6847023817533,18.9146273402062,20.1860992366171,20.5110409951007,20.239446503333,22.1592311180183,22.1008491071565,21.9350364318722,23.752970654862,24.88598300321,26.2579345209829,26.5666278241619,21.9496736607502,25.8464467901563,25.6198752254095,20.8020950779557,19.6975611707097,19.6242747329429,19.2037838061637,17.8732979053156,21.0001218105962,20.7714584292173,20.774378915538,19.6636696937296
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,0.64195,0.55352,0.54131,0.47323,0.40811,0.56314,0.58793,0.60014,0.50024,0.37814000000000003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,0.64195,0.55352,0.54131,0.47323,0.40811,0.56314,0.58793,0.60014,0.50024,0.37814000000000003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,6.555,5.615,2.22,1.475,1.36,1.705,1.58,2.215,0.995,1.285,1.29,0.835,3.125,3.53,3.82,0.7,0.665,0.79,0.775,2.15635935548761,1.79370807034817,1.26564730600843,5.84960897812951,10.2740360039212,14.9607851835742,9.05011153647455,0.719287824230794,0.472042315766214,8.37412481693795,0.92972,0.85098
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Potash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Rock, Sand and Gravel",6.555,5.615,2.22,1.475,1.36,1.705,1.58,2.215,0.995,1.285,1.29,0.835,3.125,3.53,3.82,0.7,0.665,0.79,0.775,2.15635935548761,1.79370807034817,1.26564730600843,5.84960897812951,10.2740360039212,14.9607851835742,9.05011153647455,0.719287824230794,0.472042315766214,8.37412481693795,0.92972,0.85098
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Non-Ferrous Refining and Smelting Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Primary Ni, Cu, Zn, Pb",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Downstream Oil and Gas Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Products Bulk Storage and Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Product Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Downstream Oil and Gas Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upstream Oil and Gas Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Accidents and Equipment Failures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Disposal and Waste Treatment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Heavy Crude Oil Cold Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Light/Medium Crude Oil Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Production and Processing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Transmission and Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Oil Sands In-Situ Extraction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Oil Sands Mining, Extraction and Upgrading",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Liquids Storage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Petroleum Liquids Transportation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Well Drilling/Servicing/Testing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ELECTRIC POWER GENERATION (UTILITIES),,,59.2102866721537,56.2205940523106,52.8254819532803,50.2559924470784,47.2113643927378,44.0052232136288,41.0194239970626,38.2893600748319,35.4369700748319,32.862545146702985,30.003897208119596,28.244997208119596,26.486097208119595,30.22909720811959,22.643097208119592,20.533097208119592,2.361,2.672,2.737,3.5,-,2.275,6.557,1.911,2.761,2.762,1.837,1.619,1.023,0.898,0.57522
,Coal,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Diesel,,1.37028667215365,2.87881405231065,3.98192195328025,5.91065244707843,7.36424439273783,8.65632321362881,10.1687439970626,11.9369000748319,13.5827300748319,15.506525146702987,17.146097208119595,17.146097208119595,17.146097208119595,17.146097208119592,17.146097208119592,17.146097208119592,-,-,-,-,-,-,-,-,-,-,-,0.022,0.014,0.009,0.00622
,Natural Gas,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Waste Materials,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Other (Electric Power Generation),,57.84,53.34178,48.84356,44.34534,39.84712,35.3489,30.85068,26.35246,21.85424,17.356019999999994,12.857800000000001,11.0989,9.34,13.083,5.497,3.387,2.361,2.672,2.737,3.5,-,2.275,6.557,1.911,2.761,2.762,1.837,1.597,1.009,0.889,0.569
MANUFACTURING,,,61.2882080192008,69.2882080192008,72.2882080192008,74.2882080192008,71.506512323423,47.78979,82.170232,91.830674,87.491116,77.151558,61.092000000000006,64.0255,66.959,48.595117562903,104.68957036290301,52.518323642903,65.32563099999999,47.44891314323878,47.189995067524734,34.406,28.509,30.9,7.699999999999999,7.01,5.62,1.28,0.954,1.111,1.479397635648367,1.4699903486226589,1.2972099323778634
,Abrasives Manufacturing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bakeries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Biofuel Production,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Chemicals Industry,,0.02,0.02,0.02,0.02,0.02,0.02,0.01828,0.01656,0.01484,0.01312,0.0114,0.0117,0.012,0.012,0.012,0.012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Chemical Manufacturing,0.02,0.02,0.02,0.02,0.02,0.02,0.01828,0.01656,0.01484,0.01312,0.0114,0.0117,0.012,0.012,0.012,0.012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cleaning Compound Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Fertilizer Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
