SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,VOC (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,10543.3995689278,10265.5391626281,10305.102547538,10242.5777891861,10358.1696607668,10416.0301230138,10352.3577731403,10428.6358084191,9914.31854097972,9797.186773505817,9327.848298611856,8219.983582749353,8121.89501605934,7768.584446017187,8353.423294662678,8487.849752482605,8134.24415069938,8897.10783411235,7866.134209645363,7480.75352254831,6629.698059707038,6186.714606903677,5616.339070147254,5139.537484913642,4761.317256788049,4441.507572673802,4781.437877014899,5229.042038930636,5244.752020482734,5424.803942804478,5016.071168287363
ORE AND MINERAL INDUSTRIES,,,4.95174684,6.17727528102857,5.66779359428571,5.11148542285714,5.33163570857143,3.85585117714286,3.28000071428571,5.23419514285714,4.95594171428571,5.6022248571428594,6.34095428571429,4.59290742857143,5.48406857142857,5.86109828571429,1.54239428571429,2.77630971428571,0.959712,-,-,-,-,-,-,-,-,-,-,0.445580571428571,-,2.02225028571429,1.02826285714286
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,4.92572184,6.15483528102857,5.64584859428571,5.09230042285714,5.31509070857143,3.83302117714286,3.25616571428571,5.20986514285714,4.93566171428571,5.58689485714286,6.34095428571429,4.59290742857143,5.48406857142857,5.86109828571429,1.54239428571429,2.77630971428571,0.959712,-,-,-,-,-,-,-,-,-,-,0.445580571428571,-,2.02225028571429,1.02826285714286
,Cement and Concrete Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,0.026025,0.02244,0.021945,0.019185,0.016545,0.02283,0.023835,0.02433,0.02028,0.01533,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,0.026025,0.02244,0.021945,0.019185,0.016545,0.02283,0.023835,0.02433,0.02028,0.01533,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Coal Mining Industry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Potash,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Rock, Sand and Gravel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Non-Ferrous Refining and Smelting Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Primary Ni, Cu, Zn, Pb",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,610.468636941946,593.988606330357,600.109012618528,611.495679027353,619.627313042503,649.778259789327,641.858475741861,664.336141713937,672.766279518001,687.5161723229699,704.2167325457166,703.0723846034138,718.7499547819039,727.3654848677854,729.8369133349047,706.1559975585938,358.06920526960005,363.15057892209927,341.8006823554529,338.6732176760735,288.4091272903047,307.0799932861328,307.0452512603899,297.3813598220663,290.0482641309816,305.43959932966914,315.53195859107336,323.4518522676459,248.61268718644226,249.7972243996419,230.09157246892113
,Downstream Oil and Gas Industry,,428.582407425338,416.832574743529,426.114271294118,435.680563764706,446.674716235294,487.146094828911,467.882941176471,477.729317647059,488.732094117647,499.9308705882353,508.40524705882353,517.7812235294118,529.9404000000001,533.1976000000001,532.3676,516.846,188.4,193.58,191.22,201.94,156.44,153.54,153.68,162.83,153.4,165.18,166.71,172.3,104.8,106.8,100.2
,,Petroleum Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Refined Petroleum Products Bulk Storage and Distribution,428.582407425338,416.832574743529,426.114271294118,435.680563764706,446.674716235294,487.146094828911,467.882941176471,477.729317647059,488.732094117647,499.9308705882353,508.40524705882353,517.7812235294118,529.9404000000001,533.1976000000001,532.3676,516.846,188.4,193.58,191.22,201.94,156.44,153.54,153.68,162.83,153.4,165.18,166.71,172.3,104.8,106.8,100.2
,,Refined Petroleum Product Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Distribution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Downstream Oil and Gas Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upstream Oil and Gas Industry,,181.886229516608,177.156031586827,173.99474132441,175.815115262647,172.952596807209,162.632164960416,173.97553456539,186.606824066878,184.034185400354,187.58530173473451,195.81148548689308,185.29116107400193,188.80955478190376,194.1678848677853,197.46931333490465,189.30999755859375,169.66920526960004,169.5705789220993,150.58068235545292,136.73321767607348,131.96912729030467,153.5399932861328,153.36525126038987,134.5513598220663,136.6482641309816,140.25959932966913,148.82195859107333,151.15185226764592,143.81268718644228,142.99722439964188,129.89157246892114
,,Accidents and Equipment Failures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Disposal and Waste Treatment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
