SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,CO (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,2255181.20750204,2215428.31306636,2298285.48908504,2312404.51005917,2282286.2071381,2222953.57629972,2160860.58092404,2077048.84503501,1968631.25143906,1922122.566369085,1904562.0208288133,1779296.9136454277,1764475.774849631,1779960.1024675192,1738461.3288793718,1564427.1870825875,1499335.372293136,1554763.5721833778,1526054.089071009,1446886.2450940323,1397942.14650581,1404147.6573344797,1311652.8355054518,1330045.8938842707,1283932.3793868313,1281066.8039121304,1261235.8623757765,1295457.7500027556,1267079.3878455244,1262748.9517268634,1195876.6866946823
ORE AND MINERAL INDUSTRIES,,,268123.306314665,328642.835090437,366724.423010384,358210.790053913,351444.320743529,330755.632817035,317061.589867837,279499.870253936,279220.741541972,279532.63160917355,289895.37211685453,312549.9859231971,324725.83308793954,350595.9229612943,317733.1799016692,323683.0305373608,336751.89760482585,353881.09066880844,383886.9413388457,358162.7540646528,375694.87603736203,396721.3277187741,394851.63227134396,407172.51836369105,383848.90018275566,389095.92419635836,408064.09370470856,421590.54708429385,366561.5193430928,354594.3501619584,371283.48830728454
,Aluminium Industry,,240143.166540049,303629.847901679,339788.210618138,329015.148952819,318242.712581992,298008.331103533,283691.897846103,245212.269870374,241853.467525363,238929.86041295817,246356.3078666667,272256.1817833333,298067.9656,315728.23360000004,283979.9236,266796.7726,290494.464,308234.28,339260.71900000004,329017.13300000003,341294.778,361399.68330000003,355664.77,372068.008,345802.6635,357144.12740000006,378235.1656,384433.93710000004,330437.00080000004,321253.3995,343892.96599999996
,,Alumina (Bauxite Refining),115.4242,138.4745,131.3228,161.82275,192.3227,96.1827,124.5731,152.9635,225.791125,298.61875,253.0993,270.54965,288,226,217,213,301,282,283,305,400,407.78,412,416,399,375,371,366,307,260,260
,,Primary Aluminium Smelting and Refining,240024.4344,303488.413,339653.7742,328850.292,318046.8098,297909.3344,283563.8015,245055.8447,241623.710125,238627.00672,246098.60856666672,271981.0321333333,297779.9656,315502.23360000004,283762.9236,266583.7726,290193.464,307952.28,338977.71900000004,328712.13300000003,340894.778,360991.9033,355252.77,371652.008,345403.6635,356769.12740000006,377864.1656,384067.93710000004,330130.00080000004,320993.3995,343632.96599999996
,,Secondary Aluminium Production (Includes Recycling),3.30794004864081,2.96040167910922,3.11361813795995,3.03420281918486,3.5800819923461,2.81400353291395,3.52324610265729,3.46167037357469,3.96627536275909,4.23494295817087,4.6,4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,1301.39423042739,1115.77452576386,1118.28365594177,982.1180991531,1257.83426091124,1140.57131163857,1140.59628985714,1225.29515828571,1640.16066128571,1652.87684528571,1173.97627285714,1352.00284885714,1349.9591764285701,1498.920189,1578.396339,1443.286884,1542.51853414286,1463.0423841428599,1186.2383074285701,1690.34417314286,1383.11208471429,902.849064,656.700073714286,846.7616095714279,866.7441844285711,867.198333857143,867.198333857143,1136.73601971429,1008.89295557143,990.954053142857,927.146058428571
,Cement and Concrete Industry,,4988.78814826967,4761.29621240434,4749.91949071919,6714.64614041038,8725.66659856517,5142.62881415726,4914.5009262315,5274.61073907539,5618.27298486247,5861.576550242735,6821.662300000001,6040.6428000000005,3143.7933999999996,4739.377200000001,2957.5031999999997,4197.7992,2694.576,2837.6019999999994,3601.2809999999995,3283.0440000000003,4407.527900000001,4093.3186000000005,4163.6579,3709.3481000000006,3906.1547000000005,2535.9501999999998,3179.7111999999997,2674.0881,2816.8470999999995,2937.947,1937.71396
,,Cement Manufacturing,824.9907,683.5497,595.2185,677.611269350249,760.004038700499,904.469839390914,896.379275874162,1033.91511235741,1028.73613041497,1317.4220084725343,2383.3264,2567.6027999999997,2751.8792,2485.9272,2403.0792,3628.2882,2175.226,2323.95,2055.91,1453.1580000000001,1864.6393,1733.3292000000001,1829.1094,1464.9858000000002,1565.5394000000001,2008.6899999999998,1969.0165,1672.6759,1784.45,1750.7369,1553.9269
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.384,0.4204,0.4675,0.5083,0.5643,29.769199999999998,0.4937,0.5222,0.5271,0.5301,0.43406
,,Gypsum Product Manufacturing,4.1769,7.9734,7.8471,7.97835,8.1096,7.1221,8.5039,9.8857,19.38363,28.88156,26.9717,28.50485,30.038,29.1,30.69,57.370000000000005,57.302,54.641,25.787,21.909,44.947,44.68,45.086,20.953,39.28,40.922,44.491,46.86,47.45,54.010000000000005,35.363
