SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,NOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,311649.667127366,289613.03717466,297238.187060548,306147.106578487,325616.349610605,329923.783919909,332898.888527481,345143.514116164,345916.616354562,348454.95893081784,337729.05913962267,318050.8697994841,309643.81089369574,324281.2184795011,314169.67046782054,292840.7235636912,268179.2903652213,262139.8989946894,251024.0432560171,232683.58442844378,218904.62191825014,215403.09090043377,201227.04835948173,188256.0566704768,174323.20967282658,169790.06675991177,166775.46336206666,173583.1162206372,173272.6660459863,175924.23218355278,154850.47104666324
ORE AND MINERAL INDUSTRIES,,,16578.683800325,15270.7987362169,14776.8208105085,16036.3495605484,18592.7249516932,17520.2247823362,18092.1281242498,18554.1931300093,17780.3135233423,18140.056036232854,19566.77902260146,18029.83435090432,18893.052877475748,26603.091850047163,26824.712850047177,27914.22675004717,21036.505551270286,21528.822409513086,20239.136814960722,18332.402223448265,19407.810654868823,21822.85432955941,23840.571734448164,22358.65544615101,20382.481483979314,20312.759104274774,20248.022354499026,20942.961116692404,20695.185346860584,20808.52961072653,19493.371906012246
,Aluminium Industry,,1478.87245480832,1485.66928506035,1456.032468682,1556.75926748465,1661.76076396,1261.11880720513,1423.28159105694,1592.46766406225,1503.00022551962,1408.9129473703229,1337.8758000000003,1488.3242,1281.8777,1681.0045000000002,1834.2624999999998,1689.8495,1314.067,1435.943,1317.657,954.085,811.133,855.3716,1063.486,1085.745,906.4179,954.1390999999999,940.8912,941.0851000000001,886.9958999999999,811.0597999999999,838.5933000000001
,,Alumina (Bauxite Refining),861.2196,796.8006,742.2067,824.29505,906.3834,548.4852,683.58865,818.6921,760.45167,702.21124,631.4876,775.7438,920,1010,1163,1252.498,916,1030,903,576,433,452.3,451,452,264.7,311,310,304,282,219,225
,,Primary Aluminium Smelting and Refining,601.5277,674.1062,698.3251,717.62145,736.9178,699.6166,722.90415,757.6329,723.90406,687.5594,686.6881999999999,692.8804000000001,342.1777,652.4985000000001,640.9695,407.0585,398.067,405.94300000000004,414.6569999999999,378.08500000000004,378.133,403.0716,612.486,633.745,641.7179,643.1390999999999,630.8912,637.0851000000001,604.9959,592.0597999999999,613.5933000000001
,,Secondary Aluminium Production (Includes Recycling),16.125154808317,14.7624850603473,15.5006686819963,14.8427674846509,18.4595639600027,13.0170072051281,16.7887910569441,16.1426640622539,18.6444955196226,19.142307370323,19.7,19.7,19.7,18.506,30.293,30.293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,327.394774950286,280.697993902857,281.329221620571,247.073735636,316.436292053143,286.936179028571,286.942462857143,308.250354285714,412.619034285714,415.818074285714,295.339942857143,340.126502857143,339.612371428571,377.08684,397.08084,363.09103999999996,388.054977142857,368.060977142857,298.424731428571,425.243817142857,347.952725714286,227.13184,165.207565714286,213.021788571429,218.048851428571,218.163102857143,218.163102857143,285.97132571428597,253.809548571429,249.296617142857,233.24429142857102
,Cement and Concrete Industry,,5127.47598421404,5099.58024862554,4686.95552171405,5956.74022161202,7230.01457997219,7347.50582677398,7027.92296289303,7203.07886010872,7027.42712363266,7701.2495608875115,8672.4233,8557.078750000002,8726.9187,9130.7006,8978.116600000001,9773.720599999997,6781.858,7557.764,6976.195000000001,6304.6449999999995,5520.401700000001,6540.156400000001,8681.9177,7177.784300000002,6646.5706,7109.2316,7773.139900000001,8962.8481,8146.8283,7304.5901,6352.006669999998
,,Cement Manufacturing,4570.3412,4553.8495,4080.9688,5383.78554364795,6686.60228729591,6615.73937179633,6327.53820797394,6501.15974415155,6306.93848769318,6991.508971234813,7900.1867,7789.6054,8006.7666,8262.0406,7857.7466,8648.766599999999,5757.9,6543.536,5627.988,5052.683,4214.6227,5232.039400000001,7442.243,5952.839600000001,5474.8379,6329.86,6592.690100000001,8113.913500000001,7327.264999999999,6495.361,5493.4349999999995
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.522,0.6587,0.7137,0.741,0.5802,0.5548,0.5846,0.5833,0.5891,0.50167
,,Gypsum Product Manufacturing,16.9129,31.9322,31.5399,31.9891,32.4383,28.4895,34.3012,40.1129,37.5391,34.9653,33.6723,34.71615,35.76,38.18,39.49,68.297,68.21600000000001,65.05,54.45,49.063,53.507999999999996,53.189,53.673,47.257000000000005,46.751000000000005,48.097,52.965,53.97,59.68,64.53999999999999,61.980000000000004
