SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,SOX (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,246885.765175183,221217.150813904,221317.198002324,226551.461811425,226734.063245546,379613.367167781,367929.851783652,356111.918043543,328812.633090391,304824.82342599874,305482.91470711585,275765.3521066364,239890.3010039493,266079.0425738999,260449.26815147116,220495.71123696456,186828.03564118288,167190.08225092207,150797.84375523977,136887.70491376412,138408.36056171815,139795.60398864732,135273.10427144487,119534.71486973562,121219.57081000411,111667.320978137,110634.64918521966,111807.5120737345,96665.26219030753,92153.69684401766,99173.62223845931
ORE AND MINERAL INDUSTRIES,,,123299.730440699,124931.430855506,124343.476387771,127298.090152286,130979.705677324,289067.802479194,277579.269662826,264454.143634428,237531.565592647,211148.4342810604,218602.6456224639,190430.72420075996,159612.09079505605,162098.53144127753,163571.65524127753,130336.9733812775,123157.59748400003,108904.812684,107353.332312,97029.376672,105962.31250799999,112543.773888,110015.194196,96213.80505199998,96144.07726204926,93208.54867199999,91998.33457199998,93017.89052799999,79779.32968400001,75424.64733200002,83981.64835399998
,Aluminium Industry,,29255.0198029806,36056.2471435498,41327.4718675268,45070.3347301152,48816.4304240893,43241.3629167464,47394.4773650875,48359.9140154931,46243.1249568538,43754.22238,42555.4772,47569.12024999999,52582.76329999999,49733.2663,50935.563299999994,55587.6933,55913.058,55431.827,56891.099,52845.611999999994,53587.772,59507.464,55717.911,54531.28200000001,51286.1626,53979.1886,54443.55529999999,55862.0189,49350.971,46435.295399999995,52321.7384
,,Alumina (Bauxite Refining),3577.8994,2868.7823,3086.5307,2905.52205,2724.5134,1131.1222,1787.7622,2444.4022,2366.692205,2288.98221,2441.1769,2720.08845,2999,4174,4332,5322.37,3144,3279,2891,1028,202,168,86,106,24.91,1.76,2,1.44,1.033,0.71,0.686
,,Primary Aluminium Smelting and Refining,25667.3731,33180.5279,38232.7047,42157.82425,46082.9438,42102.3405,45596.86305,45906.2972,43866.229465,41456.06617,40105.126299999996,44839.8578,49574.58929999999,45550.6483,46603.1933,50264.953299999994,52769.058000000005,52152.827,54000.099,51817.611999999994,53385.772,59339.464,55631.911,54425.28200000001,51261.2526,53977.4286,54441.55529999999,55860.57890000001,49349.938,46434.585399999996,52321.0524
,,Secondary Aluminium Production (Includes Recycling),9.74730298063332,6.9369435497766,8.23646752682766,6.98843011522205,8.97322408929267,7.90021674637184,9.85211508748613,9.21461549304661,10.203286853759,9.174,9.174,9.174,9.174,8.618,0.37,0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,229.1763424652,196.488595732,196.9304551344,172.9516149452,221.5054044372,200.85532532,200.859724,215.775248,288.833324,291.072652,206.73796,238.088552,237.72866000000002,263.96078800000004,277.956588,254.163728,271.638484,257.64268400000003,208.897312,297.670672,243.566908,158.992288,115.645296,149.115252,152.634196,152.714172,152.71417200000002,200.17992800000002,177.666684,174.507632,163.271004
,Cement and Concrete Industry,,17580.9947999699,14200.0164310767,10923.1317861366,11109.4521215646,11308.9557884056,12082.1441472885,11764.0204528876,13637.1097822169,12880.1849576957,12859.262326035227,15583.191200000001,14647.4946,12290.9844,13335.265000000001,22231.75,14614.618,11702.246000000001,9692.344,9219.24,8702.735000000002,7514.4395,6256.095,8882.0589,6494.9067000000005,7025.8224,9078.268399999999,8209.8233,7641.096799999998,7179.4634,6611.8335,5285.033060000001
,,Cement Manufacturing,16354.5037,13025.283,9687.4711,9410.96990617807,9134.46871235613,9798.65761908857,9231.58112913708,10729.7767391856,10104.9588898859,10328.315870586222,12977.0372,12234.462,11992.947,12166.564999999999,21015.587,13450.831,10725.153,8725.598,8396.307,7401.415,5976.9865,4713.4553,7427.3264,5225.9269,5586.304700000001,8971.43,7787.78,7337.3733999999995,6999.71,6464.2,5188.58
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0027,0.0095,0.0108,0.0111,0.0034,0.0033,0.0034,0.0034,0.0035,0.0030600000000000002
,,Gypsum Product Manufacturing,1.6009,0.7752,1.3469,1.9685,2.5901,1.1665,5.8386,10.5107,6.584875,2.65905,6.5889,3.40435,0.2198,9.3,8.9,8.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,1224.89019996991,1173.95823107673,1234.31378613657,1696.51371538657,2171.89697604951,2282.32002819992,2526.60072375051,2896.82234303129,2768.64119280983,2528.287405449004,2599.5651,2409.62825,297.8176,1159.4,1207.2630000000001,1155.2869999999998,977.0930000000001,966.7459999999999,822.933,1301.32,1537.453,1542.6370000000002,1454.723,1268.9689999999998,1439.5066,106.835,422.04,303.72,179.75,147.63,96.45
,Foundries,,673.463136746775,612.067612426888,644.705516610835,655.068125029742,675.949784487195,762.623963210954,679.812179114703,687.086467712474,754.809712127754,737.8176977065343,685.7507006717123,684.753486967784,683.7562732638557,684.0288880182984,696.2288880182986,688.2888880182984,0.3,21.71,26.71,0.27,0.3,0.28,0.28,0.23,0.28376604923793486,20.73,21.48,19.852,20.873,20.494,19.25
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,642.73322791087,582.785985498417,610.910516610835,616.675488283599,632.001011696171,709.510199185709,635.099766772487,641.610415819066,697.931731763098,677.7008323488905,630.6672732523574,629.6700595484292,628.6728458445009,628.9454605989436,641.1454605989437,633.2054605989435,0.3,21.71,26.71,0.27,0.3,0.28,0.28,0.23,0.28376604923793486,20.73,21.48,19.852,20.873,20.494,19.25
,,Non-Ferrous Foundries,30.7299088359046,29.2816269284713,33.795,38.3926367461431,43.9487727910238,53.1137640252454,44.712412342216,45.4760518934081,56.8779803646564,60.1168653576438,55.0834274193548,55.0834274193548,55.0834274193548,55.0834274193548,55.0834274193548,55.0834274193548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,10083.1415631626,7568.20936316261,5694.35372597686,5347.24883499896,5627.58387668335,5787.81690830675,7658.81768979801,8830.60149444048,9202.69132254949,9905.370413456767,9011.915113456766,9688.675163456766,9593.247213456765,9087.121213456767,9421.443213456767,9015.688213456768,9048.862,9822.866,9248.476,8917.617,11094.101,9794.807,10869.482000000002,8914.575,10702.305999999999,5738.579000000001,2818.839,3242.535,2716.296,3121.2560000000003,2640.893
,,Primary (Blast Furnace and DRI),9830.72076232366,7313.89666232366,5225.4367271773,5009.22625464652,5037.79531245554,5163.75674813453,6590.91570720573,7745.4689241545,8296.50231927766,8976.423505039123,8095.713125039123,8758.415025039123,9158.028925039122,8640.332925039123,8964.534925039123,8558.779925039124,9038.152,9800.996,9248.476,8917.617,10931.536,9133.494,10238.051000000001,8525.409,10024.794,4746.64,1806.643,2230.83,1692.439,2273.8,1958.227
,,Secondary (Electric Arc Furnaces),252.420800838945,254.312700838945,468.916998799555,338.022580352442,589.788564227815,624.06016017222,1067.90198259229,1085.13257028599,906.189003271825,928.9469084176437,916.2019884176436,930.2601384176437,435.2182884176437,446.7882884176437,456.9082884176437,456.9082884176437,10.71,21.87,-,-,162.565,661.313,631.431,389.166,677.512,991.9390000000001,1012.1959999999999,1011.7049999999999,1023.529,846.88,682.023
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.328,0.576,0.643
,Iron Ore Pelletizing,,8294.3753,7018.5382,5849.2726,7104.2458,8359.219,9121.8455,8790.07955,8458.3136,8450.47372,8442.63384,8700.440200000001,7645.9899,6108.389999999999,9681.433,8505.14,10357.559000000001,11324.99,11445.154,10110.26,6344.14,6476.164,6955.215,6035.872,5435.116,4801.48,4843.52,4922.103,4565.921,4419.869,4326.332,3620.803
,Mineral Products Industry,,458.837592481516,349.782221370562,326.92069425088,338.071896904927,349.224006985133,524.009883624543,460.543479934545,397.085752883957,355.859387266559,314.625293569238,167.25444833544037,165.56779833544036,477.3300483354404,500.1841483354404,562.1041483354404,632.2741483354404,423.35,436.83,442.31800000000004,457.658,425.866,461.865,400.014,351.8936,278.73400000000004,148.352,263.702,160.782,0.011,0.016,0.015
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,167.4595,167.1301,167.1199,167.4954,167.8709,167.3199,167.1486,166.9773,167.047405,167.11751,167.148,165.39595,477.0928,499.88,561.8000000000001,631.97,423.35,436.83,442.29,457.63,425.83,461.85,400,351.89,278.73,148.35,263.7,160.78,-,-,-
,,Other (Mineral Products Industry),291.378092481516,182.652121370562,159.80079425088,170.576496904927,181.353106985133,356.689983624543,293.394879934545,230.108452883957,188.811982266559,147.50778356923792,0.10644833544037084,0.17184833544037084,0.23724833544037083,0.30414833544037084,0.30414833544037084,0.30414833544037084,-,-,0.028,0.028,0.036,0.015,0.014,0.0036,0.004,0.002,0.002,0.002,0.011,0.016,0.015
,Mining and Rock Quarrying,,1224.918,1227.8398,1397.3964,1251.6325,1105.8686,1082.8495,895.378,707.9065,706.45923,705.0119599999999,875.8768000000001,802.3439,476.51180000000005,746.5495034669999,789.6925034669999,1088.094503467,667.677,721.969,646.77,485.478,460.36,403.43800000000005,399.8,370.33000000000004,378.804,220.706,632.214,158.48,97.22099999999999,150.841,163.2354
