SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,CO (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,522634.282653415,524080.49341476,521731.804297244,525049.276529875,539622.633783978,526100.877577241,529501.9113524,507239.875414579,494523.167764524,496537.5508740696,521390.10755585314,494104.3678235838,483918.6821718534,475420.8607557692,458204.12379152677,406666.2692950118,411187.13102432166,432487.63706366444,413716.3549169435,408300.56842706795,397409.6303541179,328523.13151061203,344420.96065102686,357829.65094288456,330986.7130945523,334471.74752974283,312051.9137879289,315510.0551493471,303197.20344263007,297914.2473161422,278134.9378534839
ORE AND MINERAL INDUSTRIES,,,7761.64213393739,7733.69685946773,7843.14518090533,7899.1250075716,7988.80983738207,8039.53977585014,7911.38329009614,7808.0545093653,7681.06807113245,7526.955850629146,7350.322731048277,7047.765247836934,6732.525856054162,6092.946988103326,6483.86485689578,6564.964599186281,2784.587479506545,8265.694542731724,2049.6729767460774,1492.9303237823872,1978.2025248164166,2669.4086256735595,2859.9160179592736,3158.433256816417,3083.543065816417,3170.6071553878455,3155.0852553878453,3966.063947244987,3540.104262959274,3342.4073018164163,3549.9822449592734
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,324.964379859043,209.874442629986,238.212183185229,203.598546535243,221.481607007143,189.524782645714,202.910537142857,224.628305571429,243.017073,225.103877142857,161.37728657142898,186.741103714286,199.423012285714,207.983300571429,171.205765714286,218.12882742857101,199.423012285714,177.071148428571,212.104920857143,126.977609571429,187.533723,554.992023857143,133.001516142857,183.095055,213.05606400000002,162.486953571429,162.486953571429,167.084145428571,171.839861142857,517.195,222.88454314285698
,Cement and Concrete Industry,,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,-,-,-,-,-,-,-,-,-,-,84.5,-,-,-,-
,,Cement Manufacturing,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84.5,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,5.821725,5.02125,4.909125,4.29195,3.700125,5.109,5.33325,5.443425,4.538625,3.4290749999999997,7.705478786995617,7.745422550442997,7.785366313890384,7.825310077337748,7.877713726935044,7.840394303152915,7.851467220830844,7.840394303152915,8.8300558889344,8.717714210958135,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,5.821725,5.02125,4.909125,4.29195,3.700125,5.109,5.33325,5.443425,4.538625,3.4290749999999997,7.705478786995617,7.745422550442997,7.785366313890384,7.825310077337748,7.877713726935044,7.840394303152915,7.851467220830844,7.840394303152915,8.8300558889344,8.717714210958135,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686,8.606801816416686
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,5426.39,5494.03,5561.67,5629.31,5696.95,5764.59,5621.69,5478.79,5335.89,5192.99,5050.09,4793.309499999999,4536.5289999999995,4138.4,4768.985,4854.769,511.222,696.395,707.994,582.913,824.6,963.6345,1528.0653,1432.8114,1335.3612,1428.6994,1044.3805,1244.325,1393.246,1078.3105,1853.506
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),5426.39,5494.03,5561.67,5629.31,5696.95,5764.59,5621.69,5478.79,5335.89,5192.99,5050.09,4793.309499999999,4536.5289999999995,4138.4,4768.985,4854.769,511.222,696.395,707.994,582.913,824.6,963.6345,1528.0653,1432.8114,1335.3612,1428.6994,1044.3805,1244.325,1393.246,1078.3105,1853.506
