SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,VOC (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,186864.347508671,188049.558731351,193020.941156593,203188.145613618,219950.417012375,227211.901645597,239284.910435504,248207.76407891,244178.936518681,236617.9816283578,241476.3650611663,239105.88257489091,239626.6430176893,240782.867616596,243646.6210500245,238440.17921530563,232816.04464268233,238033.05630185845,245699.14968534771,238678.62694708267,240204.76352033904,230594.09854491823,243989.73265376233,250898.34995981562,277776.15360479284,289174.52465904533,271196.47303612425,297402.25650182134,288691.1464797793,276055.140254964,213057.76851824767
ORE AND MINERAL INDUSTRIES,,,1928.98013033411,1530.9292122996,1653.1362371212,1546.99541242957,1631.2733693152,1534.80062419018,1608.98601894366,1713.3919160658,1805.707095358,1766.3430033141474,1560.8853569619152,1783.0818195600968,1995.2099647108757,2078.3408823803243,2641.867969707142,2080.040450688972,1684.6380260923497,1722.60380245301,1467.0015016071704,935.9508894794131,1433.2487650890782,2882.33451841324,1327.5752577795404,1465.6636679824878,1530.240273451973,1322.2474599876048,1437.3225599876043,1267.1992248480012,1232.8129574622062,1136.1514215231139,1435.2829691879951
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,1178.72548036679,761.26606033882,864.053993166956,738.501846481855,803.368091374025,687.452854255541,736.006267729844,814.781938572803,881.48250658582,816.506953262794,585.3549848038909,677.355768270123,759.2882342889523,791.8808929945186,651.8531741113417,830.5092292381535,759.2882342889523,674.1851810021924,807.5736545934949,483.4577707992446,714.020652753441,2113.090706077603,506.3933454439031,697.120755646851,811.195061116336,618.6569476519676,618.6569476519676,636.1604125123644,654.2674451265691,663.9245291874769,848.4397568523581
,Cement and Concrete Industry,,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,0.089565,0.07725,0.075525,0.06603,0.056925,0.0786,0.08205,0.083745,0.069825,0.052754999999999996,0.11854582749224025,0.11916034692989227,0.11977486636754436,0.1203893858051961,0.12119559579900066,0.12062145081773716,0.1207918033973976,0.12062145081773716,0.1358470136759138,0.1341186801685867,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,0.089565,0.07725,0.075525,0.06603,0.056925,0.0786,0.08205,0.083745,0.069825,0.052754999999999996,0.11854582749224025,0.11916034692989227,0.11977486636754436,0.1203893858051961,0.12119559579900066,0.12062145081773716,0.1207918033973976,0.12062145081773716,0.1358470136759138,0.1341186801685867,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977,0.13241233563717977
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron and Steel Industry,,50.0133333333333,59.82,69.6266666666667,79.4333333333333,89.24,99.0466666666667,108.853333333333,118.66,128.466666666667,138.273333333333,148.08,83.2351,18.3902,15.47,12.13,13.39,12.614,26.605,18.059,18.141,31.097,23.6654,38.9695,40.8818,49.1538,36.3951,31.3201,37.6374,39.0431,32.2871,35.0655
,,Primary (Blast Furnace and DRI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary (Electric Arc Furnaces),50.0133333333333,59.82,69.6266666666667,79.4333333333333,89.24,99.0466666666667,108.853333333333,118.66,128.466666666667,138.273333333333,148.08,83.2351,18.3902,15.47,12.13,13.39,12.614,26.605,18.059,18.141,31.097,23.6654,38.9695,40.8818,49.1538,36.3951,31.3201,37.6374,39.0431,32.2871,35.0655
,,Steel Recycling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Iron Ore Pelletizing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mineral Products Industry,,0.57,0.516,0.462,0.408,0.354,0.3,0.242,0.184,0.126,0.068,0.01,0.1589,0.3078,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Brick Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Clay Products,0.57,0.516,0.462,0.408,0.354,0.3,0.242,0.184,0.126,0.068,0.01,0.1589,0.3078,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mineral Products Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mining and Rock Quarrying,,698.871751633987,708.539901960784,718.208052287582,727.876202614379,737.544352941177,747.212503267974,763.092367880486,778.972232492997,794.852097105509,810.7319617180206,826.6118263305323,1021.502890943044,1216.3939555555557,1270.1496000000002,1977.0436000000002,1235.3006000000003,912.6149999999998,1021.6930000000001,641.2330000000001,434.218,687.9987,745.4459999999999,782.08,727.5287000000001,669.759,667.0630000000001,787.2131,593.2689999999999,539.37,439.80738,551.6453000000001
,,Coal Mining Industry,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,87.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Iron Ore Mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Metal Mining ,58.63,58.63,58.63,58.63,58.63,58.63,64.9757142857143,71.3214285714286,77.6671428571429,84.01285714285714,90.35857142857142,275.7242857142857,461.09,495.65,1154.113,386.967,575.8439999999999,512.228,177.176,208.644,248.68370000000002,302.1,365.94800000000004,318.26470000000006,232.751,236.086,361.8811,204.175,146.395,41.847,112.993
,,Potash,549.521751633987,559.055901960784,568.590052287582,578.124202614379,587.658352941176,597.192503267974,606.726653594771,616.260803921569,625.794954248366,635.3291045751635,644.8632549019608,654.3974052287583,663.9315555555555,683.185,731.616,757.019,336.77099999999996,491.485,446.077,219.581,433.322,443.346,416.13199999999995,409.076,437.008,430.97700000000003,425.332,389.09400000000005,392.97499999999997,397.96037999999993,438.6523
,,"Rock, Sand and Gravel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.188,-,-,-,-,-,-,-
,,Silica Production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Mining and Rock Quarrying),3.06,3.194,3.328,3.462,3.596,3.73,3.73,3.73,3.73,3.7299999999999995,3.7299999999999995,3.7211999999999996,3.7124,3.6546,3.6546,3.6546,-,17.98,17.98,5.993,5.993,-,-,-,-,-,-,-,-,-,-
,Non-Ferrous Refining and Smelting Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Primary Ni, Cu, Zn, Pb",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,"Secondary Pb, Cu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Other (Non-Ferrous Refining and Smelting Industry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OIL AND GAS INDUSTRY,,,94860.2815173215,96578.4983280976,101015.9136892,110920.671863451,124833.11908808,132322.615857006,143525.093233754,157196.978425637,156780.822981542,149533.19618698474,158344.43071642594,162489.73550996542,163809.30544858018,164734.12206631972,167340.64372905096,164891.95263663513,158143.38594427123,159206.70905914754,167586.2303561882,163656.51403005715,162195.06171967575,164691.9549677638,179462.9672907441,183815.14579735155,213681.2650643884,225761.65093216047,210567.66843162588,236471.3094371425,229761.46119775667,217933.3639744085,157350.95824246766
,Downstream Oil and Gas Industry,,11274.5384929289,11524.2277938797,11653.4319341948,11773.9840506248,11911.4990300983,11692.8862839329,12559.3225653353,12836.1811989697,13181.2118485147,13535.729702564146,12464.807933578573,12760.866972448553,13592.69269131853,14247.68174098894,13030.097510659352,13700.720914708423,5650.677767028198,5950.599092658691,6574.664382186889,7767.969627994385,7487.383158674927,6938.651998901367,5868.618591166077,7123.449504494544,5652.938010414745,6099.959891948889,5798.833320810754,5952.622393065199,5509.654029179947,5713.00112092301,5138.007223854097
,,Petroleum Refining,5976,5976,5976,5976,5976,5976,6295.48957142857,6614.97914285714,6934.46871428571,7253.958285714285,7573.447857142857,7892.937428571428,8661.427,8704.142,8086.144,8597.942,3705.643,3757.2349999999997,4249.884,5275.651,4871.4991,4799.79,3432.853,4510.272,3260.881,3614.037,3276.021,3432.0190000000002,3001.304,3190.496,2807.35
,,Refined Petroleum Products Bulk Storage and Distribution,4662.33349942306,4873.51882704624,4952.71854560224,5027.05001828224,5124.60715898624,4869.9508271641,5410.01963523975,5363.71675523975,5381.74619523976,5412.580635239754,4026.0462693373297,4025.29560933733,4111.31162933733,4168.234029337329,4173.93914933733,4094.38590933733,1763.91436,2008.0288799999998,2149.1911999999998,2316.78304,2437.86712,1946.36,2254.60196,2419.6328,2173.2646,2265.05084,2302.64632,2295.37308,2281.44124,2294.656,2101.86392
,,Refined Petroleum Product Pipelines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Natural Gas Distribution,135.544993505859,146.914966833496,169.785388592529,188.872032342529,201.695871112061,210.605456768799,217.483358666992,221.155300872803,228.666938989258,232.86078161010744,228.98380709838867,209.59893453979493,190.21406198120116,171.83571165161135,153.45736132202148,186.39300537109375,181.12040702819823,185.33521265869138,175.58918218688964,175.53558799438477,178.01693867492676,192.5019989013672,181.16363116607667,193.54470449454428,218.7924104147452,220.87205194888952,220.1660008107541,225.23031306519815,226.90878917994735,227.84912092300954,228.7933038540979
,,Other (Downstream Oil and Gas Industry),500.66,527.794,554.928,582.062,609.196,636.33,636.33,636.33,636.33,636.33,636.33,633.0350000000001,629.74,1203.47,616.557,822,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upstream Oil and Gas Industry,,83585.7430243926,85054.2705342179,89362.4817550054,99146.6878128263,112921.620057982,120629.729573073,130965.770668419,144360.797226667,143599.611133028,135997.46648442058,145879.62278284735,149728.86853751686,150216.6127572616,150486.44032533074,154310.5462183916,151191.23172192668,152492.708177243,153256.10996648888,161011.56597400125,155888.54440206278,154707.67856100082,157753.3029688624,173594.34869957803,176691.69629285706,208028.32705397365,219661.69104021156,204768.83511081513,230518.6870440773,224251.80716857672,212220.3628534855,152212.95101861356
,,Accidents and Equipment Failures,15952.9385190475,16510.7204829559,16855.4423082172,18278.5590493023,19409.3243254108,20297.4671904145,21847.4663943713,23523.1694075416,24072.6498837454,25386.621488259214,24807.599603554583,24654.94983443668,24327.789985457348,23741.840685382558,23124.214093825638,22225.542606257746,24013.86549984014,25638.448687336884,27406.770279137694,27874.080603997314,28894.740274696993,30131.87518310547,30309.662326669222,30392.117494245897,30343.874010121806,28795.625439963063,32949.99506581513,32938.91222084924,33660.83315716014,32962.115446887,23461.73632040443
,,Disposal and Waste Treatment,0.013523368077199,0.0137072681607522,0.0147550920238995,0.0165251849443518,0.0189865564544576,0.0206889369197992,0.0229367845128207,0.0258854425904903,0.025550213741164,0.023958511325926638,0.026755114554815836,0.027314913848108857,0.026946298975916712,0.02685403489413448,0.027132041140557246,0.026819119229912758,0.04272151995675466,0.05804303187397358,0.07424071110273006,0.08856853543787865,0.10380693375124446,0.11977744931937195,0.13139524084085888,0.1352082322645387,0.13908949712564558,0.13507255306923618,0.127985058862951,0.13480962219604428,0.1357217259819546,0.13530604515719855,0.12119239833326154
,,Heavy Crude Oil Cold Production,13812.1020505457,14099.2117685825,16740.606847768,19194.8362696258,21293.7057734176,25153.7290073069,27866.4894197771,35706.5293410695,34138.7596335231,34032.68050166699,42177.48925819313,40479.1517945199,36960.82982607246,34121.13587481459,31704.125811372334,25916.529401819265,24901.966789599708,22410.342124309875,19724.809808144582,15766.316400689586,13909.663502561229,13138.687778958945,13421.931551223277,8153.251450945356,8434.429598411902,8231.417592058493,7789.866078736912,8193.53916941128,7909.622182848654,7415.0596258214055,6072.332100926313
,,Light/Medium Crude Oil Production,48532.5972409462,48974.6529152846,50006.4004093881,55361.0151774447,65244.1341598871,67692.3082044725,73681.6618415814,76698.7599286346,77235.4766845397,68224.33688671287,69629.68072463729,74908.80085287578,78040.58791086152,81348.81612702504,86208.55033550652,92878.6112398405,93428.03798928489,95837.04416353222,103726.20509938705,102644.65932690537,102354.70533931033,104442.29316856524,119421.21597139424,129098.32043992108,160953.63871086534,174226.64815872244,156732.9512623981,181733.60697375436,175064.41920031578,165091.07725342372,116279.92646753519
,,Natural Gas Production and Processing,2927.20970748932,3072.65935173993,3091.72349462721,3186.18409700392,3478.02185237613,3615.87726051862,3293.11182954291,3297.5857714063,3320.89223428686,3586.708319668624,3661.589078796132,3633.4107096312537,3553.7488827824386,3814.9173583136007,3883.730633789377,3914.769439541198,4061.031213886063,3689.2503976609582,3371.8724239592684,3123.725183995917,2673.7105680520335,2334.0507697544945,2158.1946553724383,1964.7447737522562,1913.4143317422,1529.3584612091972,1357.0872301082518,1448.9055725761664,1188.4915514619001,931.303858822466,1024.2256492499623
,,Natural Gas Transmission and Storage,279.412066763306,302.850097666168,349.995120482254,389.340273997879,415.77529901619,434.141493723679,448.319581269836,455.888912561417,471.373382157898,480.01855749092107,472.02657318305967,432.0666516437531,393.5932378881964,355.92637312613306,317.8656612236562,385.7010381286947,373.09527685864407,380.4726458841858,358.9163422403234,356.8754656836925,360.2343174592636,388.55049345913085,365.83113954822596,371.19723464663076,345.28259584716596,345.0436754375755,321.5033865589419,334.7381300075775,346.60375255496757,334.3810392574859,344.9547155154894
,,Oil Sands In-Situ Extraction,858.715890185826,877.222767504821,1040.64216154135,1192.93849891697,1324.69098945629,1563.61219685339,1732.81390340109,2218.96921093962,2123.13766962468,2114.2854006619364,2618.4422154445974,2485.7454270521566,2239.8170229090065,2036.1682539571823,1867.2784954856754,1486.7783807989088,1430.8817277280891,1327.4114132420086,1320.1943363939004,1304.3731074864984,1133.2475392760384,962.4506097198652,1131.3169260733173,571.0758202567807,495.8491151867996,409.2297974552663,426.54796945844066,381.1682750527176,357.10541159590707,343.9745703771456,359.62438548082423
,,"Oil Sands Mining, Extraction and Upgrading",-,-,-,-,-,-,-,-,-,-,-,694.5,1389,1389,3905.162,1126.062,641.583,515.047,520.437,507.295,545.1995,597.595,633.099,767.97,878.524,1743.873,1381.055,1252.838,1151.486,1198.5045,1172.910486
,,Petroleum Liquids Storage,-,-,-,-,-,-,-,-,-,-,-,-,1011.2249999999999,1416.178,1116.4669999999999,1222.6719999999998,1418.943,1133.5630000000003,2041.681,1867.524,2220.759,2918.5699999999997,3082.735,2197.5040000000004,1387.2105999999999,1420.7749999999999,1011.686,1196.8300000000002,1518.656,979.2466000000001,907.0822
,,Petroleum Liquids Transportation,1106.2209245148,1121.26407797269,1206.97679848194,1351.77163665153,1553.11351977425,1692.36944485448,1876.24519858581,2117.44722797643,2090.02527676825,1959.8229061853137,2188.5869965464676,2137.6108321136758,2010.689742615159,1906.3743401578006,1832.3473083166891,1709.9819418442376,1855.2146246811271,1963.4099474854465,2127.469531450602,2172.3075229940237,2275.2035382225777,2424.779210386277,2659.948181410703,2737.137884312011,2815.709705808792,2734.3912123131577,2590.9129005864766,2729.0684738828472,2747.532984401371,2739.1179958007083,2453.4031634965977
,,Well Drilling/Servicing/Testing,116.533101531885,95.6753652432071,70.6798594073824,192.026284698193,202.835152086658,180.20408599206,219.639563104662,342.421541095503,147.270818167831,212.9684652633435,324.18157737746856,302.60512032984116,289.30420237650713,356.05645851898976,350.77774683053184,324.5568545769236,368.046333844368,361.0625440054302,413.13591257668105,271.2992217749432,340.1111744886168,414.3309774636885,410.28255264572266,438.24198654479903,460.2552964924882,225.19363049934825,207.1022320940635,308.9454189210159,306.9212065120331,225.4466570504711,136.63433760634612
ELECTRIC POWER GENERATION (UTILITIES),,,297.040894156953,288.730095083619,284.882446814845,275.688502064978,270.212869400781,276.217688559945,237.697770751668,254.736309448991,261.599883406831,256.30047283265213,301.00925022482716,286.13820647341885,289.6801133161522,260.26801173940925,258.27287366387486,239.40477664531528,18.9655165023652,20.8402273088285,21.4945054562919,93.32,117.03,30.5789,33.175200000000004,93.0752,136.7174,141.4872,153.9317,169.1304,195.9264,190.32999999999998,194.003034
,Coal,,279.175265160436,270.367242724999,264.26942066064,255.708712198707,249.209848379327,245.23,209.589007518412,218.512440390537,220.195640315714,217.61295782929693,217.61295782929693,217.61295782929693,217.61295782929693,217.61295782929693,217.61295782929693,217.61295782929693,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.894
,Diesel,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Natural Gas,,17.8656289965167,18.3628523586204,20.6130261542043,19.9797898662709,21.003021021454,30.9876885599448,28.1087632332561,36.2238690584531,41.4042430911173,38.68751500335523,83.39629239553022,68.52524864412193,72.06715548685523,42.65505391011233,40.65991583457793,21.79181881601835,18.9655165023652,20.8402273088285,21.4945054562919,93.32,117.03,30.5789,33.175200000000004,93.0752,136.7174,141.4872,153.9317,169.1304,195.9264,190.32999999999998,182.109034
,Waste Materials,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Other (Electric Power Generation),,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANUFACTURING,,,3904.20456054007,3918.1786070751,3916.40155298218,3980.58283409658,3935.81273644783,3934.74409694616,3953.60311519852,4070.01031778319,3654.94476696908,3971.190162344364,3882.8309597516786,4000.855896081284,3859.12926237736,3905.370125740753,3484.199816986075,3728.4107028854983,4212.39856495726,3928.3301985714115,4254.704113307466,3584.202759274865,7179.983524310857,4815.211819763818,3442.3788797357633,4660.320176341424,5153.6092777400445,5475.667797478056,4871.646658807795,4929.494010513366,3673.3461472150366,3799.5655260003587,3814.7887465494678
,Abrasives Manufacturing,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
