SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,PM2.5 (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,4055.65525185397,3491.26488100767,3182.32933095648,2755.55397484945,3192.97885231689,3395.42086838676,3136.05767288214,2792.21081685928,2288.09660753395,2340.339929481058,2324.4306344377424,2459.8182500330086,3087.9161831912074,2635.9093737489843,2787.135292671851,2718.954597737161,2989.3038405814405,2828.571307064767,2587.2838177886842,2889.160478643407,3825.5478279096637,2534.5191359210344,2365.004982163397,2529.447603529235,2332.9217644530777,2326.9883649860385,2457.9112467942427,2460.337068089864,2456.8852143646714,2475.0597332823286,2116.1790831657186
ORE AND MINERAL INDUSTRIES,,,35.0065830067381,30.6435079825752,37.4228310421059,39.7952311171506,38.7043657636793,34.1011797234064,28.6751031940782,20.134737211532,16.0139188135029,16.880127384753468,18.238474571420788,18.68650552655689,38.10970548306618,23.83982321336667,25.58230172748521,15.69335311939457,11.56803335379405,13.5222939184302,10.94718306872665,10.971222286582059,11.619705715735549,5.73889121571227,13.943041364584879,7.691774677839939,8.91740831635406,7.30227012060895,57.248270657060814,43.84021468420557,32.34683019466592,11.254470171255988,12.106984993949727
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,3.56308932385714,4.65423202567142,4.08345416755714,5.27200506671428,4.80034432168572,6.94930586832858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.683566297142858
,Cement and Concrete Industry,,7.44652384492095,6.35153003691634,6.7361163991679,6.52496557505538,6.79076096661271,6.53861337969697,7.11684271869726,6.45627058712352,6.68391881350289,6.96512738475347,6.92347457142079,6.67650552655689,4.85470548306618,4.89982321336667,4.89230172748521,5.29335311939457,5.54303335379405,5.8272939184302,5.88218306872665,4.87122228658206,5.7720619894605,5.73889121571227,5.3948317768623,5.08852167008662,5.06424727615948,4.94382136512816,4.5775584812916,5.35225699997178,5.25104043358805,5.18213017125599,4.85840869680687
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,7.44652384492095,6.35153003691634,6.7361163991679,6.52496557505538,6.79076096661271,6.53861337969697,7.11684271869726,6.45627058712352,6.68391881350289,6.96512738475347,6.92347457142079,6.67650552655689,4.85470548306618,4.89982321336667,4.89230172748521,5.29335311939457,5.54303335379405,5.8272939184302,5.88218306872665,4.87122228658206,5.7720619894605,5.73889121571227,5.3948317768623,5.08852167008662,5.06424727615948,4.94382136512816,4.5775584812916,5.35225699997178,5.25104043358805,5.18213017125599,4.85840869680687
,,Gypsum Product Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Lime Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foundries,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Die Casting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Non-Ferrous Foundries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
