SECTORS,Unnamed: 1,Unnamed: 2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,VOC (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,,,2366.57553859133,2463.7973754439,2671.46412624855,2571.8047430247,2427.22609172859,2605.4579888716,2376.19798697289,2143.75830113612,2010.2643699212,2286.2007488976706,1705.9865884907617,1540.1361375523206,1527.6052251026929,1325.6362964152268,1158.4518729439865,1819.8784248040836,1653.046290407526,1548.5582636865497,1499.3713975684254,1535.7755418932813,1533.9748086488028,1383.6487344960656,1299.2190023333676,1262.7315389997189,1094.2686600968395,1017.9272547238718,1057.2790765040606,1032.4368670404988,1050.388436884118,1082.1937412974778,943.5967689518212
ORE AND MINERAL INDUSTRIES,,,1.42928537142857,1.86698259428571,1.63802273142857,2.11479394285714,1.92559357714286,2.78762060571429,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.77,34.38,27.24,-,0.274203428571429
,Aluminium Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Alumina (Bauxite Refining),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Primary Aluminium Smelting and Refining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Secondary Aluminium Production (Includes Recycling),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asphalt Paving Industry,,1.42928537142857,1.86698259428571,1.63802273142857,2.11479394285714,1.92559357714286,2.78762060571429,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.274203428571429
,Cement and Concrete Industry,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Cement Manufacturing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Concrete Batching and Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
